,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,0.75,1.25,60.80,0.10,0.00,-20.35,-3212.953,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,1,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.25,1.75,60.72,0.07,0.00,11.54,-458.374,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,2,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.75,2.25,40.07,0.08,0.00,-3.61,-100.815,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,3,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.25,2.75,46.46,0.07,0.00,21.52,-53.134,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,4,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.75,3.25,44.18,0.40,0.00,8.76,-27.212,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,5,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.25,3.75,43.95,0.00,0.00,6.81,-16.242,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,6,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.75,1.00,64.91,0.06,0.00,-27.03,1541.943,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,7,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.00,1.50,69.30,0.07,0.00,5.56,-1144.302,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,8,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,58.55,0.04,0.00,-1.08,-241.729,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,9,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,47.77,0.09,0.00,-3.47,-78.885,155.632,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,159,25,1.0,00.000000,00.000000,17051601,10,0,11.56,12.32,20.6,16/05/2017 09:33:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.50,3.00,58.88,0.03,0.00,12.54,-36.733,117.603,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,121,14,1.0,00.000000,00.000000,17051601,1,0,11.74,12.30,20.6,16/05/2017 09:33:42,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,44.21,0.17,0.00,13.20,-15.760,117.603,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,121,14,1.0,00.000000,00.000000,17051601,2,0,11.74,12.30,20.6,16/05/2017 09:33:42,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.00,1.50,92.93,0.00,0.00,-20.34,-4003.508,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,1,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.50,2.00,65.14,0.04,0.00,-3.20,-400.870,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,2,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.00,2.50,56.66,0.05,0.00,-5.10,-116.221,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,3,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.50,3.00,71.27,0.07,0.00,12.58,-66.459,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,4,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.00,3.50,54.27,0.05,0.00,13.09,-27.246,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,5,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.50,4.00,53.10,0.00,0.00,-9.23,-15.998,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,6,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,4.00,1.25,59.60,0.04,0.00,-22.87,1154.137,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,7,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.25,1.75,64.03,0.03,0.00,3.84,-861.985,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,8,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.75,2.25,46.03,0.04,0.00,-5.16,-154.915,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,9,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,54.54,0.05,0.00,20.02,-73.426,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,10,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,54.70,0.06,0.00,9.47,-28.579,98.493,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,129,13,1.3,00.000000,00.000000,17051601,1,0,11.74,12.30,21.1,16/05/2017 09:34:01,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,53.02,0.05,0.00,6.64,-15.831,98.493,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,129,13,1.3,00.000000,00.000000,17051601,2,0,11.74,12.30,21.1,16/05/2017 09:34:01,0,1,0.0,0.00,0.0
