,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,1.00,1.50,684.62,0.0,11.28,527.9,-928.358,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.25,20.83,18.32,16.34,14.76,13.46,12.35,11.42,10.60,9.90,9.29,8.71,8.23,7.78,7.40,7.01,6.68,6.37,6.08,5.82,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,1,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,743.39,0.0,11.65,-12.5,-252.015,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.52,20.57,18.28,16.48,15.00,13.78,12.70,11.86,11.12,10.47,9.79,9.23,8.81,8.42,7.95,7.55,7.27,7.03,6.73,6.44,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,2,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,790.73,0.0,10.96,1.7,-107.225,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.02,19.27,17.13,15.35,14.10,12.82,12.02,11.34,10.62,9.82,9.16,8.50,8.45,7.87,7.33,7.22,6.96,6.66,6.35,6.15,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,3,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.50,3.00,844.56,0.0,9.90,-88.2,-57.262,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,19.62,16.89,15.10,13.15,12.14,10.65,9.85,9.49,8.75,8.21,7.40,6.80,6.48,5.94,5.66,5.06,4.85,4.81,4.72,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,4,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,1041.16,0.0,14.08,-1.1,-40.338,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.88,23.77,20.90,19.21,17.83,16.70,15.05,14.40,13.49,12.24,12.44,11.95,11.73,10.76,10.31,9.39,9.12,8.63,9.08,8.75,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,5,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.50,4.00,1044.42,0.0,10.61,69.2,-25.290,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.25,18.90,15.73,15.13,13.27,11.66,11.30,10.66,10.22,8.54,9.12,8.95,8.13,7.88,7.78,5.93,6.91,7.51,6.40,7.97,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,6,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,4.00,4.50,969.48,0.0,9.71,8.3,-15.651,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.61,18.32,13.62,14.97,14.19,10.87,10.59,9.96,8.56,8.13,8.04,6.81,7.87,6.18,6.24,5.81,6.01,5.95,5.07,5.44,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,7,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,4.50,5.00,857.32,0.0,9.21,11.5,-9.688,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.95,20.62,15.81,11.56,11.33,10.22,11.83,11.74,9.48,7.58,7.90,5.92,5.50,6.80,6.15,5.22,6.56,2.59,3.88,4.62,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,8,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,5.00,5.50,1178.64,0.0,10.00,-24.1,-9.686,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.32,20.94,18.54,14.01,10.91,12.11,9.62,10.26,10.68,9.11,10.12,10.36,8.18,8.23,5.18,4.16,4.76,4.90,4.44,4.25,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,9,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,5.50,6.00,753.07,0.0,8.39,-3.5,-4.642,12.78,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.64,19.19,15.82,10.61,5.02,9.55,9.65,9.84,9.84,9.16,6.37,7.62,9.74,6.85,5.21,3.47,0.68,4.44,5.02,7.04,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,3.8,00.000000,00.000000,18102305,10,0,12.78,12.23,18.7,23/10/2018 16:02:04,0.0,0.00,0.0
