,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,0.75,1.25,342.92,0.3,0.00,-28.6,-4781.345,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,1,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.25,1.75,129.41,0.2,0.00,37.3,-257.764,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,2,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.75,2.25,48.29,0.1,0.00,-5.4,-32.062,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,3,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.25,2.75,30.33,0.1,0.00,-13.2,-9.155,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,4,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.75,3.25,24.97,0.1,0.00,0.2,-4.058,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,5,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.25,3.75,15.82,0.6,0.00,-580.7,-1.542,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,6,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.75,1.00,141.15,0.2,0.00,549.0,884.686,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,7,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.00,1.50,180.38,0.2,0.00,21.3,-785.958,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,8,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,68.33,0.2,0.00,16.1,-74.433,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,9,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,32.47,0.1,0.00,-36.5,-14.150,41.07,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,9.7,00.000000,00.000000,17062201,10,0,11.74,12.48,25.5,22/06/2017 09:57:10,0.0,0.00,0.0
