,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,50.81,0.99,100.96,336.935,0.550,500,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.04,-0.04,1,13,2,14,0.00,0.00,0.00,0.00,6,0.000,2,3.6,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.21,20.6,11/19/2021 3:34:59 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,51.46,1.02,-84.15,-232.872,0.550,500,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.04,-0.06,-0.02,-0.02,-0.04,-0.06,1,13,14,3,0.00,0.00,0.00,0.00,6,0.000,2,3.6,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.21,20.6,11/19/2021 3:34:59 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,58.37,0.36,74.81,145.607,0.567,500,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.06,-0.06,-0.02,-0.02,-0.06,-0.06,1,13,3,15,0.00,0.00,0.00,0.00,3,0.000,2,3.4,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:02 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,60.53,0.40,-46.80,-111.918,0.567,500,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.06,-0.08,-0.02,-0.02,-0.06,-0.08,1,13,15,4,0.00,0.00,0.00,0.00,3,0.000,2,3.4,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:02 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,69.25,0.16,70.91,84.143,0.573,500,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.08,-0.08,-0.02,-0.02,-0.08,-0.08,1,13,4,16,0.00,0.00,0.00,0.00,3,0.000,2,3.4,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:05 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,72.79,0.11,-41.82,-68.506,0.573,500,-0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.08,-0.10,-0.02,-0.02,-0.08,-0.10,1,13,16,5,0.00,0.00,0.00,0.00,3,0.000,2,3.4,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:05 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,82.08,0.07,63.00,63.666,0.666,500,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.10,-0.10,-0.02,-0.02,-0.10,-0.10,1,13,5,17,0.00,0.00,0.00,0.00,3,0.000,2,2.8,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:09 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,84.54,0.14,-26.09,-52.412,0.666,500,-1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.10,-0.12,-0.02,-0.02,-0.10,-0.12,1,13,17,6,0.00,0.00,0.00,0.00,3,0.000,2,2.8,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:09 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,94.75,0.12,46.26,51.579,0.780,500,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.12,-0.12,-0.02,-0.02,-0.12,-0.12,1,13,6,18,0.00,0.00,0.00,0.00,3,0.000,2,2.8,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:12 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,110.19,0.40,58.56,57.443,1.170,500,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.14,-0.14,-0.02,-0.02,-0.14,-0.14,1,13,7,19,0.00,0.00,0.00,0.00,3,0.000,3,2.7,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:15 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,114.79,0.39,-34.66,-50.042,1.170,500,-2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.14,-0.16,-0.02,-0.02,-0.14,-0.16,1,13,19,8,0.00,0.00,0.00,0.00,3,0.000,3,2.7,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:15 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,126.01,0.58,31.34,55.755,1.477,500,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.16,-0.16,-0.02,-0.02,-0.16,-0.16,1,13,8,20,0.00,0.00,0.00,0.00,3,0.000,4,2.6,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:18 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,131.60,0.58,-82.92,-49.527,1.477,500,-3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.16,-0.18,-0.02,-0.02,-0.16,-0.18,1,13,20,9,0.00,0.00,0.00,0.00,3,0.000,4,2.6,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:18 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,146.20,0.71,286.52,49.345,1.607,500,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.18,-0.18,-0.02,-0.02,-0.18,-0.18,1,13,9,21,0.00,0.00,0.00,0.00,3,0.000,4,2.6,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.21,20.6,11/19/2021 3:35:21 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,42.97,0.08,123.99,323.491,0.624,500,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-0.04,-0.06,-0.06,-0.04,-0.04,-0.06,-0.06,2,14,3,15,0.00,0.00,0.00,0.00,3,0.000,2,3.0,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:24 PM,0,0
,Hole surf.,0.07,0.15,0.15,0.07,0.07,0.15,0.15,0.07,44.73,0.07,-96.18,-229.789,0.624,500,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-0.04,-0.06,-0.08,-0.04,-0.04,-0.06,-0.08,2,14,15,4,0.00,0.00,0.00,0.00,3,0.000,2,3.0,0,00.000000,00.000000,,1_DD_vert ,2,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:24 PM,0,1
,Hole surf.,0.07,0.15,0.07,0.15,0.07,0.15,0.07,0.15,52.79,0.53,87.00,149.153,0.642,500,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-0.04,-0.08,-0.08,-0.04,-0.04,-0.08,-0.08,2,14,4,16,0.00,0.00,0.00,0.00,3,0.000,2,2.9,0,00.000000,00.000000,,1_DD_vert ,1,0,11.83,0.0,12.19,20.6,11/19/2021 3:35:27 PM,0,0
