label,x,y,z,buried
1 1,32,-3.8,0,0
1 2,34,-2.6,0.02,0
1 3,36,-1.4,0.04,0
1 4,38,-0.2,0.068,0
1 5,40,1,-0.084,0
1 6,42,2.2,-0.152,0
1 7,44,3.4,-0.18,0
1 8,46,4.6,-0.284,0
1 9,48,5.8,-0.332,0
1 10,50,7,-0.352,0
1 11,52,8.2,-0.404,0
1 12,54,9.4,-0.548,0
1 13,56,10.6,-0.68,0
1 14,58,11.8,-1.016,0
1 15,60,13,-1.36,0
1 16,62,14.2,-1.664,0
1 17,64,15.4,-1.956,0
1 18,66,16.6,-2.28,0
1 19,68,17.8,-2.508,0
1 20,70,19,-2.952,0
1 21,72,20.2,-3.308,0
1 22,74,21.4,-3.624,0
1 23,76,22.6,-3.96,0
1 24,78,23.8,-4.348,0
2 1,10,3,4.348,0
2 2,10,6,3.96,0
2 3,10,9,3.624,0
2 4,10,12,3.308,0
2 5,10,15,2.952,0
2 6,10,18,2.508,0
2 7,10,21,2.28,0
2 8,10,24,1.956,0
2 9,10,27,1.664,0
2 10,10,30,1.36,0
2 11,10,33,1.016,0
2 12,10,36,0.68,0
2 13,10,39,0.548,0
2 14,10,42,0.404,0
2 15,10,45,0.352,0
2 16,10,48,0.332,0
2 17,10,51,0.284,0
2 18,10,54,0.18,0
2 19,10,57,0.152,0
2 20,10,60,0.084,0
2 21,10,63,0,0
2 22,10,66,-0.02,0
2 23,10,69,-0.04,0
2 24,10,72,-0.068,0
3 1,15,0,-19.5,1
3 2,15,0,-18.2,1
3 3,15,0,-16.9,1
3 4,15,0,-15.6,1
3 5,15,0,-14.3,1
3 6,15,0,-13,1
3 7,15,0,-11.7,1
3 8,15,0,-10.4,1
3 9,15,0,-9.1,1
3 10,15,0,-7.8,1
3 11,15,0,-6.5,1
3 12,15,0,-5.2,1
3 13,15,0,-3.9,1
3 14,15,0,-2.6,1
3 15,15,0,-1.3,1
3 16,15,0,0,0
3 17,30,0,-19.5,1
3 18,30,0,-18.2,1
3 19,30,0,-16.9,1
3 20,30,0,-15.6,1
3 21,30,0,-14.3,1
3 22,30,0,-13,1
3 23,30,0,-11.7,1
3 24,30,0,-10.4,1
3 25,30,0,-9.1,1
3 26,30,0,-7.8,1
3 27,30,0,-6.5,1
3 28,30,0,-5.2,1
3 29,30,0,-3.9,1
3 30,30,0,-2.6,1
3 31,30,0,-1.3,1
3 32,30,0,0,0
