label,x,y,z
1 1,-11,0,0
1 2,-10,0,0
1 3,-9,0,0
1 4,-8,0,0
1 5,-7,0,0
1 6,-6,0,0
1 7,-5,0,0
1 8,-4,0,0
1 9,-3,0,0
1 10,-2,0,0
1 11,-1,0,0
1 12,0,0,0
1 13,1,0,0
1 14,2,0,0
1 15,3,0,0
1 16,4,0,0
1 17,5,0,0
1 18,6,0,0
1 19,7,0,0
1 20,8,0,0
1 21,9,0,0
1 22,10,0,0
1 23,11,0,0
1 24,12,0,0
2 1,0,-11,0
2 2,0,-10,0
2 3,0,-9,0
2 4,0,-8,0
2 5,0,-7,0
2 6,0,-6,0
2 7,0,-5,0
2 8,0,-4,0
2 9,0,-3,0
2 10,0,-2,0
2 11,0,-1,0
2 12,0,0,0
2 13,0,1,0
2 14,0,2,0
2 15,0,3,0
2 16,0,4,0
2 17,0,5,0
2 18,0,6,0
2 19,0,7,0
2 20,0,8,0
2 21,0,9,0
2 22,0,10,0
2 23,0,11,0
2 24,0,12,0
