x,y,z,buried
0,0,92.72358,0
0.507,0,92.56572,0
0.713,0,92.07693023,1
1.244,0,92.06693023,1
1.772,0,92.01693023,1
2.351,0,92.01693023,1
2.935,0,91.99693023,1
3.469,0,91.93693023,1
4.025,0,91.86693023,1
4.664,0,91.89693023,1
5.271,0,91.89693023,1
5.822,0,91.95693023,1
6.376,0,91.95693023,1
6.93,0,91.90693023,1
7.486,0,91.91693023,1
8.047,0,91.92693023,1
8.608,0,91.92693023,1
9.169,0,91.94693023,1
9.73,0,91.97693023,1
10.284,0,92.00693023,1
10.558,0,92.65096,0
11.092,0,92.75483,0
11.637,0,92.75148,0
12.182,0,92.7479,0
12.726,0,92.74418,0
13.271,0,92.74047,0
13.816,0,92.73676,0
14.36,0,92.73304,0
14.905,0,92.74604,0
15.449,0,92.76255,0
15.994,0,92.76517,0
16.538,0,92.76617,0
