x,z
0,92.72358
0.507,92.56572
0.713,92.07693023
1.244,92.06693023
1.772,92.01693023
2.351,92.01693023
2.935,91.99693023
3.469,91.93693023
4.025,91.86693023
4.664,91.89693023
5.271,91.89693023
5.822,91.95693023
6.376,91.95693023
6.93,91.90693023
7.486,91.91693023
8.047,91.92693023
8.608,91.92693023
9.169,91.94693023
9.73,91.97693023
10.284,92.00693023
10.558,92.65096
11.092,92.75483
11.637,92.75148
12.182,92.7479
12.726,92.74418
13.271,92.74047
13.816,92.73676
14.36,92.73304
14.905,92.74604
15.449,92.76255
15.994,92.76517
16.538,92.76617
