x,z,buried
0,92.72358,0
0.507,92.56572,0
0.713,92.07693023,1
1.244,92.06693023,1
1.772,92.01693023,1
2.351,92.01693023,1
2.935,91.99693023,1
3.469,91.93693023,1
4.025,91.86693023,1
4.664,91.89693023,1
5.271,91.89693023,1
5.822,91.95693023,1
6.376,91.95693023,1
6.93,91.90693023,1
7.486,91.91693023,1
8.047,91.92693023,1
8.608,91.92693023,1
9.169,91.94693023,1
9.73,91.97693023,1
10.284,92.00693023,1
10.558,92.65096,0
11.092,92.75483,0
11.637,92.75148,0
12.182,92.7479,0
12.726,92.74418,0
13.271,92.74047,0
13.816,92.73676,0
14.36,92.73304,0
14.905,92.74604,0
15.449,92.76255,0
15.994,92.76517,0
16.538,92.76617,0
