El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
Mixed / non conventional,0,0.5,0.75,1.25,45.68,0.04,0,7.68,-2400.061,154.75
Mixed / non conventional,0,0.5,1.25,1.75,41.82,0.07,0,-15.61,-313.865,154.75
Mixed / non conventional,0,0.5,1.75,2.25,46.25,0.03,0,25.11,-115.718,154.75
Mixed / non conventional,0,0.5,2.25,2.75,45.07,0.06,0,-0.77,-51.257,154.75
Mixed / non conventional,0,0.5,2.75,3.25,46.83,0.09,0,1.89,-28.677,154.75
Mixed / non conventional,0,0.5,3.25,3.75,43.67,0.12,0,20.33,-16.044,154.75
Mixed / non conventional,0,0.5,3.75,1,45.03,0.03,0,-40.42,1063.46,154.75
Mixed / non conventional,0,0.5,1,1.5,44.7,0.04,0,-17.34,-733.887,154.75
Mixed / non conventional,0,0.5,1.5,2,45.81,0.05,0,32.4,-188.034,154.75
Mixed / non conventional,0,0.5,2,2.5,45.53,0.05,0,-7.13,-74.758,154.75
Mixed / non conventional,0,0.5,2.5,3,45.98,0.05,0,36.09,-26.165,107.262
Mixed / non conventional,0,0.5,3,3.5,47.13,0,0,-25.09,-15.325,107.262
Mixed / non conventional,0.25,0.75,1,1.5,54.79,0.05,0,-20.22,-2318.685,124.649
Mixed / non conventional,0.25,0.75,1.5,2,49.49,0.08,0,32.95,-299.212,124.649
Mixed / non conventional,0.25,0.75,2,2.5,51.58,0.05,0,-7.62,-103.956,124.649
Mixed / non conventional,0.25,0.75,2.5,3,52.99,0.06,0,36.64,-48.541,124.649
Mixed / non conventional,0.25,0.75,3,3.5,54.85,0.08,0,-25.55,-27.057,124.649
Mixed / non conventional,0.25,0.75,3.5,4,53.18,0.1,0,14.62,-15.74,124.649
Mixed / non conventional,0.25,0.75,4,1.25,47.29,0.1,0,-20.68,899.576,124.649
Mixed / non conventional,0.25,0.75,1.25,1.75,45.37,0.11,0,-15.33,-600.016,124.649
Mixed / non conventional,0.25,0.75,1.75,2.25,51.06,0.07,0,25.29,-168.837,124.649
