label,X,Y,Z,buried
1 1,0,0.21,-0.074,0
1 2,0,0.21,-0.119,1
1 3,0,0.21,-0.164,1
1 4,0,0.21,-0.209,1
1 5,0,0.21,-0.254,1
1 6,0,0.21,-0.299,1
1 7,0,0.21,-0.344,1
1 8,0,0.21,-0.389,1
1 9,0,0.21,-0.434,1
1 10,0,0.21,-0.479,1
1 11,0,0.21,-0.524,1
1 12,0,0.21,-0.569,1
1 13,0.41,0.21,-0.066,0
1 14,0.41,0.21,-0.111,1
1 15,0.41,0.21,-0.156,1
1 16,0.41,0.21,-0.201,1
1 17,0.41,0.21,-0.246,1
1 18,0.41,0.21,-0.291,1
1 19,0.41,0.21,-0.336,1
1 20,0.41,0.21,-0.381,1
1 21,0.41,0.21,-0.426,1
1 22,0.41,0.21,-0.471,1
1 23,0.41,0.21,-0.516,1
1 24,0.41,0.21,-0.561,1
1 25,0.2,0,-0.07,0
1 26,0.2,0,-0.115,1
1 27,0.2,0,-0.16,1
1 28,0.2,0,-0.205,1
1 29,0.2,0,-0.25,1
1 30,0.2,0,-0.295,1
1 31,0.2,0,-0.34,1
1 32,0.2,0,-0.385,1
1 33,0.2,0,-0.43,1
1 34,0.2,0,-0.475,1
1 35,0.2,0,-0.52,1
1 36,0.2,0,-0.565,1
1 37,0.2,0.42,-0.073,0
1 38,0.2,0.42,-0.118,1
1 39,0.2,0.42,-0.163,1
1 40,0.2,0.42,-0.208,1
1 41,0.2,0.42,-0.253,1
1 42,0.2,0.42,-0.298,1
1 43,0.2,0.42,-0.343,1
1 44,0.2,0.42,-0.388,1
1 45,0.2,0.42,-0.433,1
1 46,0.2,0.42,-0.478,1
1 47,0.2,0.42,-0.523,1
1 48,0.2,0.42,-0.568,1
