332
1	1 1	1 2	1 3	1 4	-51.274212111330804
2	1 2	1 3	1 4	1 5	-41.654267969304954
3	1 3	1 4	1 5	1 6	-55.40279177840415
4	1 4	1 5	1 6	1 7	-95.69014419112912
5	1 5	1 6	1 7	1 8	-24.567700501915144
6	1 6	1 7	1 8	1 9	-36.00364935581984
7	1 7	1 8	1 9	1 10	-100.03381746864386
8	1 8	1 9	1 10	1 11	-43.159543835810844
9	1 9	1 10	1 11	1 12	-46.442837946527284
10	1 10	1 11	1 12	1 13	-91.55163171012818
11	1 11	1 12	1 13	1 14	-0.00478576849777353
12	1 12	1 13	1 14	1 15	-211.97712828809475
13	1 13	1 14	1 15	1 16	-42.123356388301225
14	1 14	1 15	1 16	1 17	-51.96768047534874
15	1 15	1 16	1 17	1 18	-60.37489105238973
16	1 16	1 17	1 18	1 19	-78.31823338754016
17	1 17	1 18	1 19	1 20	-43.08873428193253
18	1 18	1 19	1 20	1 21	-35.58004174890879
19	1 19	1 20	1 21	1 22	-99.82988322687478
20	1 20	1 21	1 22	1 23	-55.30992513248157
21	1 21	1 22	1 23	1 24	-51.58347757713555
22	1 22	1 23	1 24	1 25	-73.31139638123574
23	1 23	1 24	1 25	1 26	-0.016231257005203528
24	1 24	1 25	1 26	1 27	-241.7894248693161
25	1 25	1 26	1 27	1 28	-39.10358503486888
26	1 26	1 27	1 28	1 29	-64.25263058284844
27	1 27	1 28	1 29	1 30	-19.005212879216376
28	1 28	1 29	1 30	1 31	-46.686153140545
29	1 29	1 30	1 31	1 32	-37.15913855055933
30	1 30	1 31	1 32	1 33	-17.024146792221963
31	1 31	1 32	1 33	1 34	-59.964138426678
32	1 32	1 33	1 34	1 35	-24.73112577920647
33	1 33	1 34	1 35	1 36	-49.639547880595735
34	1 34	1 35	1 36	1 37	-107.00049026465366
35	1 35	1 36	1 37	1 38	-0.011619938112416805
36	1 36	1 37	1 38	1 39	-237.14421527808807
37	1 37	1 38	1 39	1 40	-32.1868914717491
38	1 38	1 39	1 40	1 41	-55.102628328687786
39	1 39	1 40	1 41	1 42	-57.04056419538096
40	1 40	1 41	1 42	1 43	-74.50981417004039
41	1 41	1 42	1 43	1 44	-39.96222144488614
42	1 42	1 43	1 44	1 45	-36.346494234631834
43	1 43	1 44	1 45	1 46	-68.06081009059773
44	1 44	1 45	1 46	1 47	-69.58095146970419
45	1 45	1 46	1 47	1 48	-43.85996718835438
46	1 1	1 2	1 4	1 5	-9.167919739365363
47	1 2	1 3	1 5	1 6	-10.521229957977503
48	1 3	1 4	1 6	1 7	-18.77326633796451
49	1 4	1 5	1 7	1 8	-11.0826533172265
50	1 5	1 6	1 8	1 9	-4.72764029894117
51	1 6	1 7	1 9	1 10	-18.58503379719169
52	1 7	1 8	1 10	1 11	-29.428723913851695
53	1 8	1 9	1 11	1 12	-12.509640811008198
54	1 9	1 10	1 12	1 13	-29.768375550751884
55	1 10	1 11	1 13	1 14	-0.00711567281316877
56	1 11	1 12	1 14	1 15	-0.012677788820450744
57	1 12	1 13	1 15	1 16	-73.64006274523051
58	1 13	1 14	1 16	1 17	-11.35930393467338
59	1 14	1 15	1 17	1 18	-15.732169277995638
60	1 15	1 16	1 18	1 19	-23.667161055142
61	1 16	1 17	1 19	1 20	-16.39859405965494
62	1 17	1 18	1 20	1 21	-9.040565722452957
63	1 18	1 19	1 21	1 22	-18.510384387599277
64	1 19	1 20	1 22	1 23	-33.53354457458906
65	1 20	1 21	1 23	1 24	-15.046032795687992
66	1 21	1 22	1 24	1 25	-26.649172917316367
67	1 22	1 23	1 25	1 26	-0.011334925169605159
68	1 23	1 24	1 26	1 27	-0.040022359117462845
69	1 24	1 25	1 27	1 28	-66.69292736026257
70	1 25	1 26	1 28	1 29	-10.721461617733826
71	1 26	1 27	1 29	1 30	-5.289406898334282
72	1 27	1 28	1 30	1 31	-8.011232251592618
73	1 28	1 29	1 31	1 32	-18.009989293197535
74	1 29	1 30	1 32	1 33	-3.3798579556483506
75	1 30	1 31	1 33	1 34	-9.812737709775538
76	1 31	1 32	1 34	1 35	-19.38519077942512
77	1 32	1 33	1 35	1 36	-5.865566559327325
78	1 33	1 34	1 36	1 37	-40.08040754147417
79	1 34	1 35	1 37	1 38	-0.016319772796194055
80	1 35	1 36	1 38	1 39	-0.03979779624813043
81	1 36	1 37	1 39	1 40	-69.3070271478159
82	1 37	1 38	1 40	1 41	-8.560053445985059
83	1 38	1 39	1 41	1 42	-15.087644882187337
84	1 39	1 40	1 42	1 43	-20.508879371420996
85	1 40	1 41	1 43	1 44	-14.899923114923231
86	1 41	1 42	1 44	1 45	-7.924494206231588
87	1 42	1 43	1 45	1 46	-12.345214249765176
88	1 43	1 44	1 46	1 47	-18.934649070416825
89	1 44	1 45	1 47	1 48	-15.085352198086747
90	1 1	1 2	1 5	1 6	-2.4831736995093507
91	1 2	1 3	1 6	1 7	-4.883143828803857
92	1 3	1 4	1 7	1 8	-3.912145717135954
93	1 4	1 5	1 8	1 9	-2.711071043863739
94	1 5	1 6	1 9	1 10	-2.6383534839205356
95	1 6	1 7	1 10	1 11	-6.803630450620081
96	1 7	1 8	1 11	1 12	-7.534610711752083
97	1 8	1 9	1 12	1 13	-12.638460238905687
98	1 9	1 10	1 13	1 14	-0.0022193631509953514
99	1 10	1 11	1 14	1 15	-0.018658430150197938
100	1 11	1 12	1 15	1 16	-0.01168006044765553
101	1 12	1 13	1 16	1 17	-29.505353467265575
102	1 13	1 14	1 17	1 18	-3.327699075972865
103	1 14	1 15	1 18	1 19	-7.198405010813407
104	1 15	1 16	1 19	1 20	-7.5045964206231766
105	1 16	1 17	1 20	1 21	-4.43065862134979
106	1 17	1 18	1 21	1 22	-5.141706301857486
107	1 18	1 19	1 22	1 23	-8.75302435948101
108	1 19	1 20	1 23	1 24	-10.262141250985188
109	1 20	1 21	1 24	1 25	-14.034932817470374
110	1 21	1 22	1 25	1 26	-0.0027111932202206067
111	1 22	1 23	1 26	1 27	-0.025630391883262618
112	1 23	1 24	1 27	1 28	-0.06216394098686388
113	1 24	1 25	1 28	1 29	-33.80290616478493
114	1 25	1 26	1 29	1 30	-1.2938688987798155
115	1 26	1 27	1 30	1 31	-3.000772506483565
116	1 27	1 28	1 31	1 32	-3.8941108897228145
117	1 28	1 29	1 32	1 33	-2.3045150304513315
118	1 29	1 30	1 33	1 34	-2.1488051000400312
119	1 30	1 31	1 34	1 35	-5.2775560925666944
120	1 31	1 32	1 35	1 36	-5.13770973687104
121	1 32	1 33	1 36	1 37	-7.76444874877531
122	1 33	1 34	1 37	1 38	-0.018521970452850308
123	1 34	1 35	1 38	1 39	-0.05510969865338001
124	1 35	1 36	1 39	1 40	-0.024831707597388352
125	1 36	1 37	1 40	1 41	-24.96424287579004
126	1 37	1 38	1 41	1 42	-2.7228333418671613
127	1 38	1 39	1 42	1 43	-6.6233155945841995
128	1 39	1 40	1 43	1 44	-5.750590597580334
