label,x,y,z
1 1,3.25,0,45.35
1 2,2.81458256229943,1.625,45.35
1 3,1.625,2.81458256229943,45.35
1 4,1.99005104861445E-16,3.25,45.35
1 5,-1.625,2.81458256229943,45.35
1 6,-2.81458256229942,1.625,45.35
1 7,-3.25,3.9801020972289E-16,45.35
1 8,-2.81458256229943,-1.625,45.35
1 9,-1.625,-2.81458256229942,45.35
1 10,-5.97015314584335E-16,-3.25,45.35
1 11,1.625,-2.81458256229943,45.35
1 12,2.81458256229942,-1.625,45.35
1 13,3.25,0,39.8
1 14,2.81458256229943,1.625,39.8
1 15,1.625,2.81458256229943,39.8
1 16,1.99005104861445E-16,3.25,39.8
1 17,-1.625,2.81458256229943,39.8
1 18,-2.81458256229942,1.625,39.8
1 19,-3.25,3.9801020972289E-16,39.8
1 20,-2.81458256229943,-1.625,39.8
1 21,-1.625,-2.81458256229942,39.8
1 22,-5.97015314584335E-16,-3.25,39.8
1 23,1.625,-2.81458256229943,39.8
1 24,2.81458256229942,-1.625,39.8
1 25,3.25,0,34.25
1 26,2.81458256229943,1.625,34.25
1 27,1.625,2.81458256229943,34.25
1 28,1.99005104861445E-16,3.25,34.25
1 29,-1.625,2.81458256229943,34.25
1 30,-2.81458256229942,1.625,34.25
1 31,-3.25,3.9801020972289E-16,34.25
1 32,-2.81458256229943,-1.625,34.25
1 33,-1.625,-2.81458256229942,34.25
1 34,-5.97015314584335E-16,-3.25,34.25
1 35,1.625,-2.81458256229943,34.25
1 36,2.81458256229942,-1.625,34.25
1 37,3.25,0,28.7
1 38,2.81458256229943,1.625,28.7
1 39,1.625,2.81458256229943,28.7
1 40,1.99005104861445E-16,3.25,28.7
1 41,-1.625,2.81458256229943,28.7
1 42,-2.81458256229942,1.625,28.7
1 43,-3.25,3.9801020972289E-16,28.7
1 44,-2.81458256229943,-1.625,28.7
1 45,-1.625,-2.81458256229942,28.7
1 46,-5.97015314584335E-16,-3.25,28.7
1 47,1.625,-2.81458256229943,28.7
1 48,2.81458256229942,-1.625,28.7
1 49,3.25,0,23.15
1 50,2.81458256229943,1.625,23.15
1 51,1.625,2.81458256229943,23.15
1 52,1.99005104861445E-16,3.25,23.15
1 53,-1.625,2.81458256229943,23.15
1 54,-2.81458256229942,1.625,23.15
1 55,-3.25,3.9801020972289E-16,23.15
1 56,-2.81458256229943,-1.625,23.15
1 57,-1.625,-2.81458256229942,23.15
1 58,-5.97015314584335E-16,-3.25,23.15
1 59,1.625,-2.81458256229943,23.15
1 60,2.81458256229942,-1.625,23.15
1 61,3.25,0,17.6
1 62,2.81458256229943,1.625,17.6
1 63,1.625,2.81458256229943,17.6
1 64,1.99005104861445E-16,3.25,17.6
1 65,-1.625,2.81458256229943,17.6
1 66,-2.81458256229942,1.625,17.6
1 67,-3.25,3.9801020972289E-16,17.6
1 68,-2.81458256229943,-1.625,17.6
1 69,-1.625,-2.81458256229942,17.6
1 70,-5.97015314584335E-16,-3.25,17.6
1 71,1.625,-2.81458256229943,17.6
1 72,2.81458256229942,-1.625,17.6
1 73,3.25,0,12.05
1 74,2.81458256229943,1.625,12.05
1 75,1.625,2.81458256229943,12.05
1 76,1.99005104861445E-16,3.25,12.05
1 77,-1.625,2.81458256229943,12.05
1 78,-2.81458256229942,1.625,12.05
1 79,-3.25,3.9801020972289E-16,12.05
1 80,-2.81458256229943,-1.625,12.05
1 81,-1.625,-2.81458256229942,12.05
1 82,-5.97015314584335E-16,-3.25,12.05
1 83,1.625,-2.81458256229943,12.05
1 84,2.81458256229942,-1.625,12.05
1 85,3.25,0,6.5
1 86,2.81458256229943,1.625,6.5
1 87,1.625,2.81458256229943,6.5
1 88,1.99005104861445E-16,3.25,6.5
1 89,-1.625,2.81458256229943,6.5
1 90,-2.81458256229942,1.625,6.5
1 91,-3.25,3.9801020972289E-16,6.5
1 92,-2.81458256229943,-1.625,6.5
1 93,-1.625,-2.81458256229942,6.5
1 94,-5.97015314584335E-16,-3.25,6.5
1 95,1.625,-2.81458256229943,6.5
1 96,2.81458256229942,-1.625,6.5
