Time Conductivity
Run 1, started 02/03/2020 11:04:39
hh:mm:ss mS
00:00:00 0.7081
00:00:02 0.709
00:00:04 0.708
00:00:06 0.709
00:00:08 0.708
00:00:10 0.709
00:00:12 0.709
00:00:14 0.7089
00:00:16 0.7085
00:00:18 0.7091
00:00:20 0.7092
00:00:22 0.7083
00:00:24 0.7096
00:00:26 0.7086
00:00:28 0.7096
00:00:30 0.7089
00:00:32 0.7096
00:00:34 0.7085
00:00:36 0.7095
00:00:38 0.7085
00:00:40 0.7096
00:00:42 0.7089
00:00:44 0.7096
00:00:46 0.7091
00:00:48 0.7099
00:00:50 0.7086
00:00:52 0.7102
00:00:54 0.7094
00:00:56 0.7101
00:00:58 0.7096
00:01:00 0.71
00:01:02 0.7093
00:01:04 0.7103
00:01:06 0.7092
00:01:08 0.7099
00:01:10 0.7094
00:01:12 0.7101
00:01:14 0.7095
00:01:16 0.7106
00:01:18 0.7092
00:01:20 0.7088
00:01:22 0.7095
00:01:24 0.7089
00:01:26 0.7096
00:01:28 0.7093
00:01:30 0.7103
00:01:32 0.709
00:01:34 0.7099
00:01:36 0.7093
00:01:38 0.71
00:01:40 0.7093
00:01:42 0.7101
00:01:44 0.7095
00:01:46 0.7104
00:01:48 0.7096
00:01:50 0.71
00:01:52 0.7094
00:01:54 0.7098
00:01:56 0.7101
00:01:58 0.7101
00:02:00 0.7101
00:02:02 0.7101
00:02:04 0.71
00:02:06 0.7109
00:02:08 0.7101
00:02:10 0.7102
00:02:12 0.7102
00:02:14 0.7111
00:02:16 0.71
00:02:18 0.7103
00:02:20 0.7103
00:02:22 0.7106
00:02:24 0.7098
00:02:26 0.7108
00:02:28 0.7106
00:02:30 0.7125
00:02:32 0.7103
00:02:34 0.7125
00:02:36 0.7114
00:02:38 0.7122
00:02:40 0.711
00:02:42 0.7125
00:02:44 0.7111
00:02:46 0.7126
00:02:48 0.7109
00:02:50 0.7131
00:02:52 0.7111
00:02:54 0.7125
00:02:56 0.711
00:02:58 0.7126
00:03:00 0.7111
00:03:02 0.7131
00:03:04 0.711
00:03:06 0.7129
00:03:08 0.7112
00:03:10 0.7134
00:03:12 0.7112
00:03:14 0.7127
00:03:16 0.7111
00:03:18 0.7134
00:03:20 0.7115
00:03:22 0.7133
00:03:24 0.7114
00:03:26 0.7123
00:03:28 0.7126
00:03:30 0.7122
00:03:32 0.7129
00:03:34 0.712
00:03:36 0.7128
00:03:38 0.7121
00:03:40 0.7126
00:03:42 0.7123
00:03:44 0.7131
00:03:46 0.7125
00:03:48 0.7129
00:03:50 0.7123
00:03:52 0.713
00:03:54 0.7126
00:03:56 0.7132
00:03:58 0.7128
00:04:00 0.7138
00:04:02 0.713
00:04:04 0.7131
00:04:06 0.7129
00:04:08 0.7133
00:04:10 0.7127
00:04:12 0.7131
00:04:14 0.7127
00:04:16 0.7135
00:04:18 0.7124
00:04:20 0.7135
00:04:22 0.7125
00:04:24 0.7125
00:04:26 0.7136
00:04:28 0.7134
00:04:30 0.7141
00:04:32 0.7131
00:04:34 0.7141
00:04:36 0.7131
00:04:38 0.7139
00:04:40 0.713
00:04:42 0.7142
00:04:44 0.7133
00:04:46 0.7143
00:04:48 0.713
00:04:50 0.7147
00:04:52 0.7135
00:04:54 0.7146
00:04:56 0.7137
00:04:58 0.7142
00:05:00 0.7137
00:05:02 0.7146
00:05:04 0.7136
00:05:06 0.7145
00:05:08 0.7132
00:05:10 0.7146
00:05:12 0.7135
00:05:14 0.7146
00:05:16 0.7132
00:05:18 0.7142
00:05:20 0.7137
00:05:22 0.7147
00:05:24 0.7137
00:05:26 0.7148
00:05:28 0.7135
00:05:30 0.7144
00:05:32 0.7141
