822
1	1 1	1 2	1 3	1 4	-21.0781233
2	1 2	1 3	1 4	1 5	-22.13969064
3	1 3	1 4	1 5	1 6	-21.0489712
4	1 4	1 5	1 6	1 7	-35.85223946
5	1 5	1 6	1 7	1 8	-38.04806401
6	1 6	1 7	1 8	1 9	-69.79727462
7	1 7	1 8	1 9	1 10	-65.22228468
8	1 8	1 9	1 10	1 11	-63.09820008
9	1 9	1 10	1 11	1 12	-65.31231328
10	1 10	1 11	1 12	1 13	-63.85023737
11	1 11	1 12	1 13	1 14	-68.27242481
12	1 12	1 13	1 14	1 15	-56.32001366
13	1 13	1 14	1 15	1 16	-30.66091872
14	1 14	1 15	1 16	1 17	-20.69806331
15	1 15	1 16	1 17	1 18	-21.28676155
16	1 16	1 17	1 18	1 19	-23.56641217
17	1 17	1 18	1 19	1 20	-21.99727644
18	1 18	1 19	1 20	1 21	-20.95713407
19	1 19	1 20	1 21	1 22	-20.18139614
20	1 20	1 21	1 22	1 23	-24.37031565
21	1 21	1 22	1 23	1 24	-26.40629767
22	1 1	1 2	1 4	1 5	-3.088614017
23	1 2	1 3	1 5	1 6	-3.09785622
24	1 3	1 4	1 6	1 7	-6.10669109
25	1 4	1 5	1 7	1 8	-8.629741968
26	1 5	1 6	1 8	1 9	-9.439846676
27	1 6	1 7	1 9	1 10	-18.40242207
28	1 7	1 8	1 10	1 11	-16.99180941
29	1 8	1 9	1 11	1 12	-16.82475231
30	1 9	1 10	1 12	1 13	-17.15534772
31	1 10	1 11	1 13	1 14	-18.4554316
32	1 11	1 12	1 14	1 15	-13.68763628
33	1 12	1 13	1 15	1 16	-6.732540743
34	1 13	1 14	1 16	1 17	-5.239456168
35	1 14	1 15	1 17	1 18	-3.264361146
36	1 15	1 16	1 18	1 19	-3.573295419
37	1 16	1 17	1 19	1 20	-3.777463095
38	1 17	1 18	1 20	1 21	-3.395125308
39	1 18	1 19	1 21	1 22	-3.312599024
40	1 19	1 20	1 22	1 23	-3.917261204
41	1 20	1 21	1 23	1 24	-5.066474453
42	1 1	1 2	1 5	1 6	-0.7314483177
43	1 2	1 3	1 6	1 7	-1.383745741
44	1 3	1 4	1 7	1 8	-2.108360795
45	1 4	1 5	1 8	1 9	-3.202460876
46	1 5	1 6	1 9	1 10	-3.714500441
47	1 6	1 7	1 10	1 11	-7.477004014
48	1 7	1 8	1 11	1 12	-7.125622202
49	1 8	1 9	1 12	1 13	-7.269191771
50	1 9	1 10	1 13	1 14	-7.842181021
51	1 10	1 11	1 14	1 15	-5.337211453
52	1 11	1 12	1 15	1 16	-2.518161931
53	1 12	1 13	1 16	1 17	-1.924177897
54	1 13	1 14	1 17	1 18	-1.658400057
55	1 14	1 15	1 18	1 19	-0.9622674542
56	1 15	1 16	1 19	1 20	-0.9424308685
57	1 16	1 17	1 20	1 21	-0.9727533598
58	1 17	1 18	1 21	1 22	-1.02725786
59	1 18	1 19	1 22	1 23	-1.278050005
60	1 19	1 20	1 23	1 24	-1.504210233
61	1 1	1 2	1 6	1 7	-0.565039774
62	1 2	1 3	1 7	1 8	-0.6150730063
63	1 3	1 4	1 8	1 9	-0.9106390071
64	1 4	1 5	1 9	1 10	-1.507120612
65	1 5	1 6	1 10	1 11	-1.827601586
66	1 6	1 7	1 11	1 12	-3.843776956
67	1 7	1 8	1 12	1 13	-3.824661329
68	1 8	1 9	1 13	1 14	-4.115246975
69	1 9	1 10	1 14	1 15	-2.639466728
70	1 10	1 11	1 15	1 16	-1.211848473
71	1 11	1 12	1 16	1 17	-0.9623090129
72	1 12	1 13	1 17	1 18	-0.8746194056
73	1 13	1 14	1 18	1 19	-0.7852007419
74	1 14	1 15	1 19	1 20	-0.4116039758
75	1 15	1 16	1 20	1 21	-0.3611597839
76	1 16	1 17	1 21	1 22	-0.4683766863
77	1 17	1 18	1 22	1 23	-0.6193958942
78	1 18	1 19	1 23	1 24	-0.6903278988
79	1 1	1 2	1 7	1 8	-0.3454764973
80	1 2	1 3	1 8	1 9	-0.322117152
81	1 3	1 4	1 9	1 10	-0.4716078792
82	1 4	1 5	1 10	1 11	-0.825386726
83	1 5	1 6	1 11	1 12	-1.051184491
84	1 6	1 7	1 12	1 13	-2.315929657
85	1 7	1 8	1 13	1 14	-2.427743112
86	1 8	1 9	1 14	1 15	-1.499051816
87	1 9	1 10	1 15	1 16	-0.6814105613
88	1 10	1 11	1 16	1 17	-0.5584480641
89	1 11	1 12	1 17	1 18	-0.5303127082
90	1 12	1 13	1 18	1 19	-0.5030379147
91	1 13	1 14	1 19	1 20	-0.4515799316
92	1 14	1 15	1 20	1 21	-0.2239658634
93	1 15	1 16	1 21	1 22	-0.2364033246
94	1 16	1 17	1 22	1 23	-0.3551854591
95	1 17	1 18	1 23	1 24	-0.3990366739
96	1 1	1 2	1 8	1 9	-0.2287251793
97	1 2	1 3	1 9	1 10	-0.1965595451
98	1 3	1 4	1 10	1 11	-0.2768894261
99	1 4	1 5	1 11	1 12	-0.5078100042
100	1 5	1 6	1 12	1 13	-0.6806603409
101	1 6	1 7	1 13	1 14	-1.570667728
102	1 7	1 8	1 14	1 15	-0.9260285371
103	1 8	1 9	1 15	1 16	-0.4219628107
104	1 9	1 10	1 16	1 17	-0.3559169211
105	1 10	1 11	1 17	1 18	-0.3462694499
106	1 11	1 12	1 18	1 19	-0.3377497969
107	1 12	1 13	1 19	1 20	-0.3213046663
108	1 13	1 14	1 20	1 21	-0.2884659965
109	1 14	1 15	1 21	1 22	-0.1864326862
110	1 15	1 16	1 22	1 23	-0.2024912867
111	1 16	1 17	1 23	1 24	-0.24920935
112	1 1	1 2	1 9	1 10	-0.1666263935
113	1 2	1 3	1 10	1 11	-0.1325562554
114	1 3	1 4	1 11	1 12	-0.1793707567
115	1 4	1 5	1 12	1 13	-0.3438241838
116	1 5	1 6	1 13	1 14	-0.4828164604
117	1 6	1 7	1 14	1 15	-0.6168550503
118	1 7	1 8	1 15	1 16	-0.2779290933
119	1 8	1 9	1 16	1 17	-0.2407330536
120	1 9	1 10	1 17	1 18	-0.2386206745
121	1 10	1 11	1 18	1 19	-0.2357048108
122	1 11	1 12	1 19	1 20	-0.2293794047
123	1 12	1 13	1 20	1 21	-0.2186938733
124	1 13	1 14	1 21	1 22	-0.2664145395
125	1 14	1 15	1 22	1 23	-0.1767802231
126	1 15	1 16	1 23	1 24	-0.1497718294
127	1 1	1 2	1 10	1 11	-0.127967774
128	1 2	1 3	1 11	1 12	-0.09608623661
129	1 3	1 4	1 12	1 13	-0.1263584856
130	1 4	1 5	1 13	1 14	-0.2509293603
131	1 5	1 6	1 14	1 15	-0.1937702957
132	1 6	1 7	1 15	1 16	-0.1944886103
133	1 7	1 8	1 16	1 17	-0.1696490099
134	1 8	1 9	1 17	1 18	-0.1705749491
135	1 9	1 10	1 18	1 19	-0.1703276811
136	1 10	1 11	1 19	1 20	-0.1673956639
137	1 11	1 12	1 20	1 21	-0.1632867395
