x,y,z
0,-5,0
2,-5,0
4,-5,0
6,-5,0
8,-5,0
10,-5,0
12,-5,0
14,-5,0
16,-5,0
18,-5,0
20,-5,0
22,-5,0
24,-5,0
26,-5,0
28,-5,0
30,-5,0
32,-5,0
34,-5,0
36,-5,0
38,-5,0
40,-5,0
42,-5,0
44,-5,0
46,-5,0
48,-5,0
0,0,0
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,0,0
48,0,0
0,5,0
2,5,0
4,5,0
6,5,0
8,5,0
10,5,0
12,5,0
14,5,0
16,5,0
18,5,0
20,5,0
22,5,0
24,5,0
26,5,0
28,5,0
30,5,0
32,5,0
34,5,0
36,5,0
38,5,0
40,5,0
42,5,0
44,5,0
46,5,0
48,5,0
