label,x,y,z
1 1,0,-5,0
1 2,2,-5,
1 3,4,-5,
1 4,6,-5,
1 5,8,-5,
1 6,10,-5,
1 7,12,-5,
1 8,14,-5,
1 9,16,-5,
1 10,18,-5,
1 11,20,-5,
1 12,22,-5,
1 13,24,-5,
1 14,26,-5,
1 15,28,-5,
1 16,30,-5,4
1 17,32,-5,
1 18,34,-5,
1 19,36,-5,
1 20,38,-5,
1 21,40,-5,
1 22,42,-5,
1 23,44,-5,
1 24,46,-5,
1 25,48,-5,
2 1,0,0,
2 2,2,0,
2 3,4,0,
2 4,6,0,
2 5,8,0,
2 6,10,0,
2 7,12,0,
2 8,14,0,
2 9,16,0,
2 10,18,0,
2 11,20,0,
2 12,22,0,
2 13,24,0,
2 14,26,0,
2 15,28,0,
2 16,30,0,
2 17,32,0,
2 18,34,0,
2 19,36,0,
2 20,38,0,
2 21,40,0,
2 22,42,0,
2 23,44,0,
2 24,46,0,
2 25,48,0,
3 1,0,5,
3 2,2,5,
3 3,4,5,
3 4,6,5,
3 5,8,5,
3 6,10,5,
3 7,12,5,
3 8,14,5,
3 9,16,5,
3 10,18,5,
3 11,20,5,
3 12,22,5,
3 13,24,5,
3 14,26,5,
3 15,28,5,
3 16,30,5,
3 17,32,5,
3 18,34,5,
3 19,36,5,
3 20,38,5,
3 21,40,5,2
3 22,42,5,
3 23,44,5,
3 24,46,5,
3 25,48,5,
