,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,0.75,1.25,30.57,0.0,-0.86,23.8,-943.885,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.37,-0.56,-0.69,-0.77,-0.83,-0.87,-0.90,-0.93,-0.94,-0.95,-0.96,-0.95,-0.95,-0.95,-0.94,-0.93,-0.93,-0.93,-0.92,-0.90,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,1,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.25,1.75,39.93,0.0,1.12,18.7,-176.148,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.46,2.08,1.83,1.69,1.47,1.40,1.23,1.13,1.03,0.98,0.90,0.84,0.87,0.78,0.73,0.67,0.63,0.57,0.54,0.51,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,2,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.75,2.25,42.39,0.0,2.30,33.0,-62.335,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,4.12,3.78,3.48,3.05,2.98,2.73,2.35,2.23,2.02,1.88,1.84,1.64,1.48,1.44,1.36,1.28,1.32,1.21,1.06,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,3,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.25,2.75,47.79,0.2,4.22,-75.9,-31.941,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.81,6.31,5.96,5.39,5.56,4.98,4.45,4.29,4.31,4.09,4.14,3.55,3.32,3.46,3.40,3.02,3.18,2.80,2.60,2.72,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,4,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.75,3.25,44.91,0.7,9.63,0.4,-16.161,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,16.88,15.11,13.33,12.69,11.95,10.87,9.74,9.25,8.93,7.92,7.30,7.09,6.53,6.72,6.04,6.04,6.12,5.70,5.46,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,5,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.25,3.75,72.23,0.8,3.34,66.7,-15.595,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,4.01,4.50,3.94,4.39,3.99,3.78,3.87,2.92,3.24,3.21,2.98,3.01,2.80,2.57,3.06,2.77,2.22,2.34,2.64,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,6,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.75,1.00,44.49,0.0,3.12,-26.0,617.571,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,5.83,5.17,4.63,4.19,3.82,3.49,3.21,2.97,2.76,2.58,2.40,2.26,2.10,1.98,1.87,1.77,1.68,1.58,1.49,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,7,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.00,1.50,45.12,0.0,3.26,27.7,-435.409,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21,6.29,5.51,4.94,4.44,4.01,3.66,3.34,3.08,2.85,2.66,2.44,2.29,2.15,1.97,1.86,1.71,1.64,1.60,1.49,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,8,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,38.51,0.1,1.89,2.8,-92.898,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,3.29,2.99,2.65,2.45,2.19,2.06,1.96,1.73,1.57,1.57,1.44,1.46,1.38,1.34,1.32,1.24,1.21,1.09,1.04,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,9,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,43.78,0.1,3.22,-35.4,-42.248,90.94,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.35,5.45,5.13,4.48,3.85,3.86,3.48,3.37,3.05,2.83,2.21,2.65,2.47,2.43,2.30,1.94,2.24,2.03,2.17,2.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,92,8,1.0,00.000000,00.000000,17042716,10,0,11.53,11.98,13.3,27/04/2017 14:55:25,0.0,0.00,0.0
