El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,0,1,2,3,87.67,0.11,3,3.78,-323.35,69.519,6.08,5.71,4.48,4.83,3.86,3.18,2.43,3.65,3.01,2.32,2.27,2.09,1.89,1.94,1.85,2.12,2.93,1.8,2.39,1.26,40
Mixed / non conventional,0,1,3,4,43.39,0.82,0.97,10.48,-40.003,69.519,2.26,-0.19,4.7,-2.73,1.72,4.88,6.03,-5.34,-0.92,1.81,1.56,4.18,3.65,2,1.28,-0.44,-7.54,2.44,-4.83,4.86,40
Mixed / non conventional,0,1,4,5,28.92,0.16,0.14,7.86,-10.667,69.519,4.01,-0.24,0.76,2.54,0.76,-2.46,4.95,3.09,-2.13,2.25,7.06,-0.51,-1.18,-1.08,-0.66,-1.5,-1.93,-4.53,-3.42,-3.04,40
Mixed / non conventional,0,1,5,6,29.27,0.44,2.14,-3.29,-5.397,69.519,-4.63,-8.28,6.15,-0.68,-1.01,8.82,4.26,-0.62,0,1.11,-3.14,6.15,-0.77,-2.52,7.58,15.07,8.46,3.71,-6.65,9.86,40
Mixed / non conventional,0,1,6,7,33.42,1,-0.12,-3.12,-3.522,69.519,5.27,-1.46,4.35,8.96,0.54,9.91,-8.98,7.11,-12.22,2.38,5.63,-6.08,5.6,-6.62,-4.56,-6.84,-4.28,-0.43,3.07,-3.82,40
Mixed / non conventional,0,1,7,8,36.74,2.37,10.02,8.76,-2.42,69.519,15.94,11.12,18.16,1.13,8.5,19.64,19.94,2.25,-3.72,-8.15,11.07,6.61,10.36,18.9,17.73,9.27,11.54,29.64,-8.86,9.29,40
Mixed / non conventional,0,1,8,9,44.67,1.55,2.93,11.64,-1.961,69.519,25.56,-21.03,-1.38,-6.34,-8.67,7.25,14.13,11.85,5.9,11.97,28.74,-17.83,3.59,10.96,11.38,-10.47,-5.08,2.27,1.83,-6,40
Mixed / non conventional,0,1,9,10,42.4,4.38,20.62,4.53,-1.303,69.519,-11.73,-0.54,26.06,22,11.01,16.11,26.78,-15.84,23.45,-6.13,18.6,36.44,13.25,11.62,25.08,38.47,35.1,107.28,-1.93,37.3,40
Mixed / non conventional,0,1,10,11,44.2,0.96,-8.86,-6.2,-0.988,69.519,-0.08,-6.2,-38.63,31.72,-34.27,-16.33,-4.7,30.67,-61.79,5.54,13.87,-19.17,23.95,-10.5,23.71,-53.91,-48.32,-7.41,33.51,-38.92,40
Mixed / non conventional,0,1,11,12,62.37,9.09,10.61,-9.48,-1.046,69.519,17.29,-54.69,-57.2,32.89,13.26,35.36,27.61,100.23,28.2,8.75,1.2,12.46,-8.59,18.16,-0.21,-6.85,94.2,-0.09,1.76,-51.47,40
