El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,0,1,2,3,65.6,0.05,2.17,-4.42,-444.743,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,3,4,33.18,0.17,1.07,-26.31,-56.23,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,4,5,28.21,0.19,1.22,12.6,-19.128,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,5,6,24.83,1.24,0.58,9.48,-8.418,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,6,7,33.77,1.02,1.85,-29.06,-6.542,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,7,8,28.03,1.91,-1.7,31.41,-3.393,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,8,9,38.31,1.2,3.98,5.81,-3.092,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,9,10,46.39,0.9,-5.69,2.19,-2.621,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,10,11,45.3,2.24,-5.12,-0.1,-1.861,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,11,12,57.17,0.84,-6.13,14.78,-1.762,127.793,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,12,13,49.84,1.22,5.34,-20.82,-1.174,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,13,14,71.18,0.58,5.4,1.12,-1.318,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,14,15,77.35,0.78,-1.33,-14.05,-1.145,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,15,16,80.91,2.71,5.38,-5.28,-0.974,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,16,17,73.68,2.45,15.7,23.62,-0.73,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,17,18,65.89,1.15,-2.8,-0.43,-0.544,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,18,19,88.52,7.36,-14.95,4.88,-0.616,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,19,20,79.96,8.5,-16.31,-5.54,-0.473,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,20,21,73.48,14.78,36.18,14.12,-0.372,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,21,22,78.57,2.21,77.99,9.84,-0.344,127.009,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,1,22,23,105.64,24.68,45.7,-8.19,-0.401,126.705,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,4,6,29.11,0.15,1.56,21.45,-85.005,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,6,7,31.34,0.65,0.55,-30.72,-14.38,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,7,8,26.56,0.11,0.3,31.84,-7.202,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,8,9,37.07,0.13,3.63,5.81,-6.443,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,9,10,44.94,0.08,0.4,2.26,-5.311,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,10,11,44.28,0.88,3.26,-0.31,-3.723,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,11,12,56.39,0.41,-5.07,14.84,-3.493,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,12,13,49.4,1.91,1.49,-20.48,-2.32,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,13,14,69.11,0.85,-3.2,1.72,-2.52,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,14,15,75.89,2.22,3.91,-14.48,-2.192,110.082,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,15,16,81.46,8.63,-0.18,-5.4,-1.883,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,16,17,75.8,14.81,2.52,23.2,-1.432,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,17,18,65.89,4.77,1.48,-0.37,-1.031,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,18,19,87.43,6.4,4.53,5.48,-1.145,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,19,20,85.28,7.55,-10.98,-6.37,-0.945,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,20,21,76.48,16.36,-5.09,14.37,-0.723,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,21,22,83.62,10.77,-10.52,9.76,-0.68,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,22,23,102.66,13.99,-7.89,-7.26,-0.723,109.382,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,1,2,66.38,1.9,2.63,117.8,1492.328,141.251,1000,0,0,,,,,,,,,,,,,,,,,,40
