label,x,y,z
1 1,0,-1,0
1 2,1,-1,0
1 3,2,-1,0
1 4,3,-1,0
1 5,4,-1,0
1 6,5,-1,0
1 7,6,-1,0
1 8,7,-1,0
1 9,8,-1,0
1 10,9,-1,0
1 11,10,-1,0
1 12,11,-1,0
1 13,12,-1,0
1 14,13,-1,0
1 15,14,-1,0
1 16,15,-1,0
1 17,16,-1,0
1 18,17,-1,0
1 19,18,-1,0
1 20,19,-1,0
1 21,20,-1,0
1 22,21,-1,0
1 23,22,-1,0
1 24,23,-1,0
2 1,0,0,0
2 2,1,0,0
2 3,2,0,0
2 4,3,0,0
2 5,4,0,0
2 6,5,0,0
2 7,6,0,0
2 8,7,0,0
2 9,8,0,0
2 10,9,0,0
2 11,10,0,0
2 12,11,0,0
2 13,12,0,0
2 14,13,0,0
2 15,14,0,0
2 16,15,0,0
2 17,16,0,0
2 18,17,0,0
2 19,18,0,0
2 20,19,0,0
2 21,20,0,0
2 22,21,0,0
2 23,22,0,0
2 24,23,0,0
3 1,0,1,0
3 2,1,1,0
3 3,2,1,0
3 4,3,1,0
3 5,4,1,0
3 6,5,1,0
3 7,6,1,0
3 8,7,1,0
3 9,8,1,0
3 10,9,1,0
3 11,10,1,0
3 12,11,1,0
3 13,12,1,0
3 14,13,1,0
3 15,14,1,0
3 16,15,1,0
3 17,16,1,0
3 18,17,1,0
3 19,18,1,0
3 20,19,1,0
3 21,20,1,0
3 22,21,1,0
3 23,22,1,0
3 24,23,1,0
