x,y,z
0.00,0.00,0.00
2.00,0.00,0.00
4.00,0.00,0.00
6.00,0.00,0.00
8.00,0.00,0.00
10.00,0.00,0.00
12.00,0.00,0.00
14.00,0.00,0.00
16.00,0.00,0.00
18.00,0.00,0.00
20.00,0.00,0.00
22.00,0.00,0.00
24.00,0.00,0.00
26.00,0.00,0.00
28.00,0.00,0.00
30.00,0.00,0.00
32.00,0.00,0.00
34.00,0.00,0.00
36.00,0.00,0.00
38.00,0.00,0.00
40.00,0.00,0.00
42.00,0.00,0.00
44.00,0.00,0.00
46.00,0.00,0.00
48.00,0.00,0.00
0.00,5.00,0.00
2.00,5.00,0.00
4.00,5.00,0.00
6.00,5.00,0.00
8.00,5.00,0.00
10.00,5.00,0.00
12.00,5.00,0.00
14.00,5.00,0.00
16.00,5.00,0.00
18.00,5.00,0.00
20.00,5.00,0.00
22.00,5.00,0.00
24.00,5.00,0.00
26.00,5.00,0.00
28.00,5.00,0.00
30.00,5.00,0.00
32.00,5.00,0.00
34.00,5.00,0.00
36.00,5.00,0.00
38.00,5.00,0.00
40.00,5.00,0.00
42.00,5.00,0.00
44.00,5.00,0.00
46.00,5.00,0.00
48.00,5.00,0.00
0.00,-5.00,0.00
2.00,-5.00,0.00
4.00,-5.00,0.00
6.00,-5.00,0.00
8.00,-5.00,0.00
10.00,-5.00,0.00
12.00,-5.00,0.00
14.00,-5.00,0.00
16.00,-5.00,0.00
18.00,-5.00,0.00
20.00,-5.00,0.00
22.00,-5.00,0.00
24.00,-5.00,0.00
26.00,-5.00,0.00
28.00,-5.00,0.00
30.00,-5.00,0.00
32.00,-5.00,0.00
34.00,-5.00,0.00
36.00,-5.00,0.00
38.00,-5.00,0.00
40.00,-5.00,0.00
42.00,-5.00,0.00
44.00,-5.00,0.00
46.00,-5.00,0.00
48.00,-5.00,0.00
