24 # position of electrodes
#	x	y	z
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
218 # Number of data
#a	b	m	n	R	ip
1	2	3	4	-4.293367088607595	-4.9101
1	2	4	6	-0.7744212454212454	-2.2136
1	2	6	8	-0.1256587410265986	0.87755
1	2	8	10	-0.06139022353849305	-0.97861
1	2	10	12	-0.03284778514073069	-0.85573
1	2	12	13	-0.015276085443030352	-6.0045
1	2	13	15	-0.023567513537129464	-10.7317
1	2	15	17	-0.01765211293783688	-2.5904
1	2	17	19	-0.009528479112458183	17.7404
1	2	19	21	-0.010286434893014694	-13.3736
1	2	21	22	-0.002849447272570667	-30.0781
1	2	22	23	-0.003184014183654633	14.1077
1	2	23	24	-0.00276562725080239	10.0913
2	3	4	6	-4.414859872611465	-1.8221
2	3	6	8	-0.18554554791814806	0.2433
2	3	8	10	-0.07416539802583116	-0.45693
2	3	10	12	-0.03718934213628861	-0.51487
2	3	12	13	-0.016805621120306233	-4.2495
2	3	13	15	-0.025350945615897087	-7.0546
2	3	15	17	-0.018678126867941146	-1.3847
2	3	17	19	-0.010001053253170984	10.9907
2	3	19	21	-0.010622018333247538	-9.1583
2	3	21	22	-0.002917322418887153	-26.0312
2	3	22	23	-0.0032795745661641966	9.0183
2	3	23	24	-0.002874025700297284	-8.1613
3	4	6	8	-0.4188956043956044	-0.075747
3	4	8	10	-0.11060209967218557	-0.9252
3	4	10	12	-0.05052190488192946	-2.7622
3	4	12	13	-0.022004758625560616	-0.38066
3	4	13	15	-0.03256237178586483	0.94161
3	4	15	17	-0.02337163888631459	-1.878
3	4	17	19	-0.01230881334166906	-6.3787
3	4	19	21	-0.013039487604723643	0.59376
3	4	21	22	-0.003535963730337423	2.4365
3	4	22	23	-0.00395402888116537	-6.483
3	4	23	24	-0.0035129395082277074	4.6429
4	6	8	10	-0.832086500655308	-1.116
4	6	10	12	-0.205778071334214	-1.6143
4	6	12	13	-0.07991729548354574	-1.7052
4	6	13	15	-0.111402366321196	-1.9806
4	6	15	17	-0.07630027869468109	-1.6975
4	6	17	19	-0.039281757141501374	-1.5858
4	6	19	21	-0.03985977075032053	-3.0074
4	6	21	22	-0.01064179509907643	-2.8712
4	6	22	23	-0.012091132306093646	-2.1616
4	6	23	24	-0.010307231544490557	-4.6147
6	8	10	12	-0.6725819134993447	-1.709
6	8	12	13	-0.1507274160753558	-0.78802
6	8	13	15	-0.1782445886573421	-1.1692
6	8	15	17	-0.10856131339998167	-1.1891
6	8	17	19	-0.05215187871839978	-3.0997
6	8	19	21	-0.05121826658441682	-1.169
6	8	21	22	-0.013133543416183701	-0.57735
6	8	22	23	-0.014795548019711374	-3.5634
6	8	23	24	-0.01254639293169016	1.6389
8	10	12	13	-0.6387106227106227	-1.3973
8	10	13	15	-0.41816965899505965	-1.469
8	10	15	17	-0.18804949816598815	-1.1599
8	10	17	19	-0.08131743556819224	-1.6663
8	10	19	21	-0.07409246338426265	-2.1735
8	10	21	22	-0.01876888247520951	-1.6801
8	10	22	23	-0.02045850417894483	-2.2876
8	10	23	24	-0.017190768463917	-1.8994
10	12	13	15	-3.2399097621000825	-1.4101
10	12	15	17	-0.3636896011567659	-1.0523
10	12	17	19	-0.12461243903422145	-1.0067
10	12	19	21	-0.10331505090342108	-2.4923
10	12	21	22	-0.024567654910777014	-2.1726
10	12	22	23	-0.026439863773342027	-1.1757
10	12	23	24	-0.021634749050084067	-2.6297
1	6	8	13	-1.5399342105263156	-1.3259
1	6	10	13	-0.4609482432942955	-1.5968
1	6	12	13	-0.13403501985661975	-1.62
1	6	13	21	-0.4743233851185609	-2.0235
1	6	15	21	-0.28104798857937696	-2.055
1	6	17	21	-0.14502063916023833	-2.393
1	6	19	21	-0.07372722921839012	-2.9929
1	6	21	23	-0.042514781878754494	-2.4464
1	6	22	23	-0.022552482626067755	-2.5461
1	6	23	24	-0.01954698562429997	-2.6574
6	10	12	15	-1.3828604471858135	-1.4327
6	10	13	15	-0.5955442997266442	-1.5095
6	10	15	22	-0.5861178378378378	-1.5139
6	10	17	22	-0.29016817529801653	-1.9012
6	10	19	22	-0.15670121044807814	-2.0928
6	10	21	22	-0.031839056154676124	-1.7066
6	10	23	24	-0.029664878074695852	-1.6052
2	8	10	17	-1.810668407310705	-1.6054
2	8	12	17	-0.8413069705093834	-1.5664
2	8	13	17	-0.5736958307660711	-1.686
2	8	15	17	-0.22639636562371906	-1.4301
2	8	17	23	-0.29212142020438664	-2.1872
2	8	19	23	-0.1784570077564395	-2.6834
2	8	21	23	-0.06433843587069864	-2.3852
2	8	22	23	-0.034068111830368134	-2.2626
2	8	23	24	-0.02918432601880878	-2.344
3	10	12	19	-2.208069892473118	-1.4258
