# Prime:                           	RX Ver.1.00.5928 H8S Ver.1.00.0602
cmd_file_no:                       	3001
cmd_file:                          	Youtsiplu Line1_fwd a1-4 n1-7
set_est_meas_duration:             	35
site_name:                         	Youtsiplu
objective_name:                    	Line1
set_name:                          	Youtsiplu Line1_fwd a1-4 n1-7_2020-01-31_000028
set_actual_start_time:             	2020-01-31T00:00:28
set_meas_type:                     	res
set_meas_array_style:              	PRIME-02
set_current_max:                   	100	mA
set_meas_frequency:                	25	Hz
set_max_meas_cycles:               	36
set_meas_trim_samples:             	100
set_meas_SP_trim_settle_time:      	100
set_meas_scaling_percent_max_curr: 	90%
set_meas_scaling_percent_peak_volt:	90%
set_meas_scaling_cycle_freq:       	25	Hz
set_meas_scaling_cycle_num:        	5
set_meas_scaling_curr:             	2	mA
set_meas_null_cycle:               	2
set_no_of_meas:                    	3108
set_no_of_columns:                 	25
#Units	Ohm	Tenths %	-	-	-	-	mV	Tenths %	mV	Tenths %	Degrees	Tenths %	mA	Tenths %	V	Tenths %	Ohm	mV	-	Minutes	-	-	YYYY-MM-DDTHH:MM:SS	-
#%d	%g	%g	%d	%d	%d	%d	%g	%g	%g	%g	%g	%g	%g	%g	%g	%g	%g	%g	%g	%.3f	%d	%d	%u%c%u%c%u%c%u%c%u%c%u	%x
data:
pt_line_number:	pt_calc_res:	pt_calc_res_error:	pt_c1_no:	pt_c2_no:	pt_p1_no:	pt_p2_no:	pt_meas_voltage_mean:	pt_meas_voltage_error:	pt_meas_quad_mean:	pt_meas_quad_error:	pt_calc_phase_mag:	pt_calc_phase_error:	pt_meas_current_mag:	pt_meas_current_error:	pt_meas_applied_voltage:	pt_meas_applied_voltage_error:	pt_meas_contact_resistance:	pt_meas_pre_sample:	pt_meas_gain:	pt_elapsed_meas_time:	pt_cmd_line_no:	pt_meas_channel:	pt_time:	pt_error_code:
1	0.797471	0.479907	2	1	3	4	71.7691	0.479346	-2.34117	16.5389	-1.86837	16.5341	89.9959	0.0231867	31.2892	0.208063	347.673	-30.8995	1	0.053	1	1	2020-01-31T00:00:30	0x00
2	0.375762	0.456378	2	1	4	5	33.817	0.455789	-1.45436	9.34127	-2.4626	9.34087	89.9959	0.0231867	31.2892	0.208063	347.673	135.5	1	0.053	1	2	2020-01-31T00:00:30	0x00
3	0.105652	1.98514	2	1	5	6	9.50828	1.98501	-0.558327	34.3368	-3.36056	34.3153	89.9959	0.0231867	31.2892	0.208063	347.673	-283.818	1	0.053	1	3	2020-01-31T00:00:30	0x00
4	0.0173139	8.47953	2	1	6	7	1.55818	8.4795	-0.030191	430.739	-1.11002	430.714	89.9959	0.0231867	31.2892	0.208063	347.673	60.9598	1	0.053	1	4	2020-01-31T00:00:30	0x00
5	0.00871873	42.0305	2	1	7	8	0.78465	42.0305	0.000785516	45021.7	0.057359	45021.7	89.9959	0.0231867	31.2892	0.208063	347.673	-83.0091	1	0.053	1	5	2020-01-31T00:00:30	0x00
6	0.00357285	77.8024	2	1	8	9	0.321542	77.8024	-0.0353789	766.42	-6.27894	764.206	89.9959	0.0231867	31.2892	0.208063	347.673	-25.7877	1	0.053	1	6	2020-01-31T00:00:30	0x00
7	0.00240794	32.4889	2	1	9	10	0.216705	32.4889	-0.0105503	856.712	-2.78726	855.976	89.9959	0.0231867	31.2892	0.208063	347.673	57.3739	1	0.053	1	7	2020-01-31T00:00:30	0x00
8	1.51331	0.370171	3	2	4	5	136.184	0.369586	-2.22225	17.4765	-0.934865	17.4773	89.9911	0.0208041	30.7593	0.228359	341.804	57.145	1	0.102	2	1	2020-01-31T00:00:33	0x00
9	0.352482	0.2586	3	2	5	6	31.7202	0.257762	-0.997414	9.03496	-1.80102	9.03269	89.9911	0.0208041	30.7593	0.228359	341.804	-154.345	1	0.102	2	2	2020-01-31T00:00:33	0x00
10	0.0480363	5.64101	3	2	6	7	4.32283	5.64097	0.0175438	1214.92	0.232529	1214.92	89.9911	0.0208041	30.7593	0.228359	341.804	22.1256	1	0.102	2	3	2020-01-31T00:00:33	0x00
11	0.021023	5.47464	3	2	7	8	1.89188	5.4746	0.0273902	266.551	0.829457	266.57	89.9911	0.0208041	30.7593	0.228359	341.804	-52.1859	1	0.102	2	4	2020-01-31T00:00:33	0x00
12	0.0101956	38.7174	3	2	8	9	0.917514	38.7174	0.0398472	695.468	2.48677	695.67	89.9911	0.0208041	30.7593	0.228359	341.804	-10.2235	1	0.102	2	5	2020-01-31T00:00:33	0x00
13	0.00615896	42.0131	3	2	9	10	0.554252	42.0131	-0.0432531	458.073	-4.46224	458.137	89.9911	0.0208041	30.7593	0.228359	341.804	17.2427	1	0.102	2	6	2020-01-31T00:00:33	0x00
14	0.0039799	30.889	3	2	10	11	0.358156	30.889	-0.0169388	540.004	-2.70775	540.082	89.9911	0.0208041	30.7593	0.228359	341.804	-1.6022	1	0.102	2	7	2020-01-31T00:00:33	0x00
15	0.524863	0.966621	3	1	5	7	47.2344	0.966356	-1.5296	27.9027	-1.85477	27.8999	89.9938	0.0226425	30.8917	0.201452	343.265	-129.702	1	0.151	3	1	2020-01-31T00:00:36	0x00
16	0.0428889	3.30786	3	1	7	9	3.85974	3.30778	-0.0351076	395.026	-0.52114	395.019	89.9938	0.0226425	30.8917	0.201452	343.265	-60.7309	1	0.151	3	2	2020-01-31T00:00:36	0x00
17	0.01422	19.6638	3	1	9	11	1.27971	19.6638	-0.0115298	2162.34	-0.516203	2162.32	89.9938	0.0226425	30.8917	0.201452	343.265	41.0468	1	0.151	3	3	2020-01-31T00:00:36	0x00
18	0.00824884	15.0937	3	1	11	13	0.742344	15.0937	-0.00433981	2210.74	-0.334952	2210.74	89.9938	0.0226425	30.8917	0.201452	343.265	-49.9733	1	0.151	3	4	2020-01-31T00:00:36	0x00
19	0.00625576	57.2199	3	1	13	15	0.56298	57.2199	-0.000297437	84175.1	-0.0302708	84175.1	89.9938	0.0226425	30.8917	0.201452	343.265	48.3711	1	0.151	3	5	2020-01-31T00:00:36	0x00
20	0.00338748	71.1703	3	1	15	17	0.304852	71.1703	-0.0104921	2146.83	-1.97117	2146.31	89.9938	0.0226425	30.8917	0.201452	343.265	-64.1642	1	0.151	3	6	2020-01-31T00:00:36	0x00
21	0.00255407	46.2746	3	1	17	19	0.229851	46.2746	-0.00651169	2142.45	-1.62276	2141.8	89.9938	0.0226425	30.8917	0.201452	343.265	31.5099	1	0.151	3	7	2020-01-31T00:00:36	0x00
22	1.6995	0.336814	4	3	5	6	152.943	0.336102	-3.3279	17.3395	-1.24651	17.3373	89.9924	0.0218953	32.7878	0.793498	364.339	-156.634	1	0.199	4	1	2020-01-31T00:00:39	0x00
23	0.15138	0.874945	4	3	6	7	13.6231	0.874671	0.247853	53.3558	1.0423	53.3512	89.9924	0.0218953	32.7878	0.793498	364.339	18.8449	1	0.199	4	2	2020-01-31T00:00:39	0x00
24	0.0562964	5.07953	4	3	7	8	5.06625	5.07949	0.0727627	393.138	0.822839	393.116	89.9924	0.0218953	32.7878	0.793498	364.339	-51.2703	1	0.199	4	3	2020-01-31T00:00:39	0x00
25	0.0239675	4.6686	4	3	8	9	2.15689	4.66854	0.0366324	320.395	0.973009	320.368	89.9924	0.0218953	32.7878	0.793498	364.339	-11.5969	1	0.199	4	4	2020-01-31T00:00:39	0x00
26	0.0137712	27.7802	4	3	9	10	1.23931	27.7802	0.0204087	1695.05	0.943452	1694.97	89.9924	0.0218953	32.7878	0.793498	364.339	28.9921	1	0.199	4	5	2020-01-31T00:00:39	0x00
27	0.00827631	35.9374	4	3	10	11	0.744805	35.9374	0.0114637	2572.76	0.881799	2572.61	89.9924	0.0218953	32.7878	0.793498	364.339	-3.73846	1	0.199	4	6	2020-01-31T00:00:39	0x00
28	0.00586299	13.1808	4	3	11	12	0.527625	13.1808	0.00272037	2808.03	0.295408	2808.01	89.9924	0.0218953	32.7878	0.793498	364.339	-49.7444	1	0.199	4	7	2020-01-31T00:00:39	0x00
29	0.27712	2.13845	4	2	6	8	24.9403	2.1383	0.387811	91.7661	0.890854	91.7762	89.9979	0.0255441	33.9801	1.0102	377.565	-30.0603	1	0.246	5	1	2020-01-31T00:00:41	0x00
