time,a,b,m,n,injection_duration_[ms],vmn_[mV],vmn_std_[%],iab_[mA],iab_std_[%],r_[Ohm],r_std_[%],rab_[kOhm],sp_[mV],nb_stack,vab_[V],channel_mn,injection_id,battery_voltage_tx_[V],s_samples,strategy,cmd_id
2025-08-25T23:15:16.258883,1,4,2,3,500.0,2834.374972985606,0.6154954494001663,1.6829763862781957,5.246860549032012,1688.6299357504538,5.106033531562702,23.767416064855,36.371407085561486,2,40.0,0,1,11.95,133,safe,
2025-08-25T23:15:22.011345,2,5,3,4,500.0,3329.332386363636,0.600113299857483,2.6369069602272726,5.1783113626986506,1266.037094216183,5.303854378007934,13.577517926762981,-225.59943181818176,2,35.80265152369187,0,2,11.95,132,safe,
2025-08-25T23:15:27.660269,3,6,4,5,500.0,1493.549715909091,0.6629988174039398,1.4245904356060606,5.280477907747694,1051.2616171548093,5.192917774340302,28.078245508494433,-6.873579545454504,2,40.0,0,3,11.95,132,safe,
2025-08-25T23:15:34.592914,4,7,5,6,500.0,3272.8371735655987,0.7196631375808076,2.9819877819548872,4.133351264427407,1099.3936531217566,4.160205108826948,13.413871190906555,-233.09408422459887,2,40.0,0,4,11.95,133,safe,
2025-08-25T23:15:40.974268,5,8,6,7,500.0,3954.0113636363635,0.4136421054557606,2.9301467803030303,2.7876297402693804,1350.4491343776199,2.753698991782633,13.651193267479684,-2.4375,2,40.0,0,5,11.95,132,safe,
2025-08-25T23:15:47.779892,6,9,7,8,500.0,1179.065340909091,0.9173590379022959,2.2293667140151516,8.951627618727422,533.2249261310038,9.207534561628618,17.94231507474106,-30.704545454545496,2,40.0,0,6,11.95,132,safe,
2025-08-25T23:15:54.259199,7,10,8,9,500.0,3355.75,0.5571895706688802,3.649244791666667,3.3789343343324867,920.5980583670297,3.3436093856535396,10.96117204615681,-91.96590909090912,2,40.0,0,7,11.95,132,safe,
2025-08-25T23:16:01.027779,8,11,9,10,500.0,3011.4375000000005,0.5173499294830028,4.062449100378788,2.1304637349762157,741.6094542483298,2.108865107427983,9.84627721151518,27.47159090909122,2,40.0,0,8,11.95,132,safe,
2025-08-25T23:16:07.716741,9,12,10,11,500.0,2787.7304748753577,0.4673322929086642,4.515541588345865,2.1537064203644505,617.634899751834,2.092245880237775,8.858295116412119,-154.9718415775401,2,40.0,0,9,11.95,133,safe,
2025-08-25T23:16:14.178771,10,13,11,12,500.0,3285.474431818182,0.6146984611448756,5.348830492424243,2.3105295671732615,614.5472287189914,2.2340241421583027,7.478270260509014,-60.281250000000114,2,40.0,0,10,11.95,132,safe,
2025-08-25T23:16:20.958341,11,14,12,13,500.0,3034.0867099232037,0.5388944594820078,6.204492481203007,1.8720300351640957,489.1657195916952,1.7258019500333117,6.446941489764572,-267.7175802139037,2,40.0,0,11,11.95,133,safe,
2025-08-25T23:16:27.657487,12,15,13,14,500.0,3072.599431818182,0.4715770971577971,5.937566287878788,2.030733563058545,517.6926579423518,2.034164602799611,6.736766894149508,-68.37784090909088,2,40.0,0,12,11.95,132,safe,
2025-08-25T23:16:34.113247,17,20,18,19,500.0,2806.880681818182,0.6507169580344724,1.3982220643939394,5.95815655123237,2014.418016037073,5.850151931396005,28.60775910966477,-6.43181818181813,2,40.0,0,13,11.95,132,safe,
2025-08-25T23:16:40.931946,18,21,19,20,500.0,2539.068181818182,0.5886623600651139,2.3488411458333336,5.47443625146815,1084.2942348216623,5.604939711700664,17.02967442943384,-195.715909090909,2,40.0,0,14,11.95,132,safe,
2025-08-25T23:16:47.391677,19,22,20,21,500.0,3100.227272727273,0.5413767646377299,2.3232031249999996,3.791547063613156,1336.321365308021,3.7129828643965825,17.217607694118442,-91.26136363636374,2,40.0,0,15,11.95,132,safe,
2025-08-25T23:16:54.200457,20,23,21,22,500.0,2367.9573863636365,0.7366980602470237,2.401326941287879,4.283703745273616,987.9052581451019,4.322595191852539,16.657456888626424,-121.12784090909088,2,40.0,0,16,11.95,132,safe,
2025-08-25T23:17:00.676661,21,24,22,23,500.0,3785.5738636363635,0.46438619081240307,2.9007339015151516,2.976995376301618,1306.1399220902524,2.865446129093367,13.789613717792813,-6.840909090909122,2,40.0,0,17,11.95,132,safe,
2025-08-25T23:17:07.496178,22,25,23,24,500.0,2325.900568181818,0.665202972272978,3.221966145833333,4.5534606479552355,723.3757016706941,4.566921048412722,12.41477973060898,-18.40625,2,40.0,0,18,11.95,132,safe,
2025-08-25T23:17:13.956638,23,26,24,25,500.0,3560.562500000001,0.5733506168604569,4.1029853219696975,3.5315805257514916,868.8682802369365,3.5408938107109167,9.748999048526311,-162.68181818181813,2,40.0,0,19,11.95,132,safe,
2025-08-25T23:17:20.749217,24,27,25,26,500.0,3740.440340909091,0.597790467264006,4.945473484848485,1.8996833045025414,756.584314479648,1.8214871168127258,8.088204319070469,35.769886363636374,2,40.0,0,20,11.95,132,safe,
2025-08-25T23:17:27.241360,25,28,26,27,500.0,3021.909090909091,0.4921067319825314,5.435961174242424,2.0692506346118034,556.1365805521358,2.0225286386958676,7.358404285434315,-61.97159090909088,2,40.0,0,21,11.95,132,safe,
2025-08-25T23:17:34.039395,26,29,27,28,500.0,3611.923295454546,0.5306379596935917,7.350388257575758,1.695125284899495,491.52421772979966,1.6691899472142373,5.441889407511714,-99.37215909090901,2,40.0,0,22,11.95,132,safe,
2025-08-25T23:17:40.523761,27,30,28,29,500.0,3737.801136363637,0.4116408796358792,9.003248106060607,1.085570413415299,415.206433565685,1.0774538968198188,4.442841020128467,-278.1534090909089,2,40.0,0,23,11.95,132,safe,
2025-08-25T23:17:47.337396,28,31,29,30,500.0,2702.590909090909,0.7045638748680478,5.2728953598484845,2.565746000586268,512.8659664438462,2.543951461698817,7.585965066666787,-73.59090909090912,2,40.0,0,24,11.95,132,safe,
2025-08-25T23:17:53.805770,1,7,3,5,500.0,1419.704545454545,0.4649827700071039,1.923722774621212,6.427909562902759,741.098004933929,6.550858888712047,20.79301681494941,30.238636363636374,2,40.0,0,25,11.95,132,safe,
2025-08-25T23:18:00.618724,2,8,4,6,500.0,2007.5170454545455,0.578313667210161,3.1150343276515153,4.476333209141581,645.7170768576499,4.394860070978011,12.840949984059012,-21.71590909090901,2,40.0,0,26,11.95,132,safe,
2025-08-25T23:18:07.090561,3,9,5,7,500.0,2443.443181818182,0.4647131173249181,3.481902225378788,4.372188471778538,703.1064724052426,4.423513762170101,11.48797335791027,-119.5625,2,40.0,0,27,11.95,132,safe,
2025-08-25T23:18:13.904805,4,10,6,8,500.0,2554.0710227272725,0.3739876231922423,3.7202462121212125,4.142394912284832,687.7138128771392,4.171537751392636,10.75197654114209,-153.77556818181824,2,40.0,0,28,11.95,132,safe,
2025-08-25T23:18:20.370923,5,11,7,9,500.0,1734.538352272727,0.7033816843038847,3.4184517045454546,2.7626983929934252,507.7635101541977,2.646374428655982,11.701203777959686,-50.45596590909088,2,40.0,0,29,11.95,132,safe,
2025-08-25T23:18:27.175502,6,12,8,10,500.0,687.6606241330264,1.0336729998173155,1.6621193609022555,6.929656570026558,415.71589502685197,7.020744983995829,24.06566034961931,37.73800969251337,2,40.0,0,30,11.95,133,safe,
2025-08-25T23:18:33.618999,7,13,9,11,500.0,1638.9022827540107,0.5211157623774519,3.863282451923077,2.400354911247521,424.4548894716126,2.3096526657018193,10.353889599785456,2.871064505347533,2,40.0,0,31,11.95,130,safe,
2025-08-25T23:18:39.920975,8,14,10,12,500.0,1791.45295219069,0.49225924482913436,4.3734375000000005,2.187916649779208,409.8034245255152,2.0875602206442285,9.146123615576991,13.073905414438514,2,40.0,0,32,11.95,132,safe,
2025-08-25T23:18:46.727457,9,15,11,13,500.0,1883.757635335833,0.4834460921358443,4.563973214285715,2.9738876173085984,413.10794230411386,2.995623480530118,8.764293329942385,-365.8595003342246,2,40.0,0,33,11.95,133,safe,
2025-08-25T23:18:53.193129,17,23,19,21,500.0,1408.426136363636,0.6067872417854749,1.6617311789772728,9.627574670803254,855.3897105002889,9.607629223479083,24.07128210991284,-5.650568181818187,2,40.0,0,34,11.95,132,safe,
2025-08-25T23:18:59.459891,18,24,20,22,500.0,1902.6149770314826,0.5491324340879735,2.6393656015037594,6.066775173663677,723.4846228431999,6.017522023209417,15.155156973028022,-0.16694518716576567,2,40.0,0,35,11.95,133,safe,
2025-08-25T23:19:05.773064,19,25,21,23,500.0,2503.5867537313443,0.5057975655571553,3.764052005597015,5.619688469773483,667.3656072614556,6.005836570480697,10.6268457344695,-35.07219251336892,2,40.0,0,36,11.95,134,safe,
