General array with IP
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
228
1
1
Chargeability
mV/V
0.0,1.0
4       1.00 0.00       0.00 0.00       2.00 0.00       3.00 0.00     13.301    12.5858
4       2.00 0.00       1.00 0.00       3.00 0.00       4.00 0.00     13.298    12.5886
4       3.00 0.00       2.00 0.00       4.00 0.00       5.00 0.00     13.297    12.5867
4       4.00 0.00       3.00 0.00       5.00 0.00       6.00 0.00     13.297    12.5917
4       5.00 0.00       4.00 0.00       6.00 0.00       7.00 0.00     13.297    12.5953
4       6.00 0.00       5.00 0.00       7.00 0.00       8.00 0.00     13.297    12.6043
4       7.00 0.00       6.00 0.00       8.00 0.00       9.00 0.00     13.299    12.6218
4       8.00 0.00       7.00 0.00       9.00 0.00      10.00 0.00     13.302    12.6501
4       9.00 0.00       8.00 0.00      10.00 0.00      11.00 0.00     13.307    12.6990
4      10.00 0.00       9.00 0.00      11.00 0.00      12.00 0.00     13.317    12.7835
4      11.00 0.00      10.00 0.00      12.00 0.00      13.00 0.00     13.336    12.9266
4      12.00 0.00      11.00 0.00      13.00 0.00      14.00 0.00     13.375    13.1871
4      13.00 0.00      12.00 0.00      14.00 0.00      15.00 0.00     13.458    13.7017
4      14.00 0.00      13.00 0.00      15.00 0.00      16.00 0.00     13.665    14.8151
4      15.00 0.00      14.00 0.00      16.00 0.00      17.00 0.00     14.107    16.9138
4      16.00 0.00      15.00 0.00      17.00 0.00      18.00 0.00     12.544     9.5202
4      17.00 0.00      16.00 0.00      18.00 0.00      19.00 0.00     10.183    -1.7850
4      18.00 0.00      17.00 0.00      19.00 0.00      20.00 0.00      9.640    -2.2646
4      19.00 0.00      18.00 0.00      20.00 0.00      21.00 0.00      9.881    -1.0075
4      20.00 0.00      19.00 0.00      21.00 0.00      22.00 0.00     10.011    -0.8956
4      21.00 0.00      20.00 0.00      22.00 0.00      23.00 0.00     10.181    -1.8721
4      22.00 0.00      21.00 0.00      23.00 0.00      24.00 0.00     10.565    -4.4820
4      23.00 0.00      22.00 0.00      24.00 0.00      25.00 0.00      8.331    15.1685
4      24.00 0.00      23.00 0.00      25.00 0.00      26.00 0.00      6.025    33.9060
4      25.00 0.00      24.00 0.00      26.00 0.00      27.00 0.00      6.023    33.8822
4      26.00 0.00      25.00 0.00      27.00 0.00      28.00 0.00      8.359    14.8190
4      27.00 0.00      26.00 0.00      28.00 0.00      29.00 0.00     10.587    -4.4408
4      28.00 0.00      27.00 0.00      29.00 0.00      30.00 0.00     10.217    -1.7706
4      29.00 0.00      28.00 0.00      30.00 0.00      31.00 0.00     10.079    -0.6173
4      30.00 0.00      29.00 0.00      31.00 0.00      32.00 0.00     10.039    -0.2468
4      31.00 0.00      30.00 0.00      32.00 0.00      33.00 0.00     10.025    -0.1065
4      32.00 0.00      31.00 0.00      33.00 0.00      34.00 0.00     10.021    -0.0487
4       1.00 0.00       0.00 0.00       3.00 0.00       4.00 0.00     18.068    26.9292
4       2.00 0.00       1.00 0.00       4.00 0.00       5.00 0.00     18.064    26.9516
4       3.00 0.00       2.00 0.00       5.00 0.00       6.00 0.00     18.065    26.9634
4       4.00 0.00       3.00 0.00       6.00 0.00       7.00 0.00     18.069    26.9889
4       5.00 0.00       4.00 0.00       7.00 0.00       8.00 0.00     18.075    27.0274
4       6.00 0.00       5.00 0.00       8.00 0.00       9.00 0.00     18.084    27.0794
4       7.00 0.00       6.00 0.00       9.00 0.00      10.00 0.00     18.099    27.1622
4       8.00 0.00       7.00 0.00      10.00 0.00      11.00 0.00     18.123    27.2842
4       9.00 0.00       8.00 0.00      11.00 0.00      12.00 0.00     18.163    27.4724
4      10.00 0.00       9.00 0.00      12.00 0.00      13.00 0.00     18.230    27.7734
4      11.00 0.00      10.00 0.00      13.00 0.00      14.00 0.00     18.350    28.2840
4      12.00 0.00      11.00 0.00      14.00 0.00      15.00 0.00     18.585    29.1684
4      13.00 0.00      12.00 0.00      15.00 0.00      16.00 0.00     19.089    30.8410
4      14.00 0.00      13.00 0.00      16.00 0.00      17.00 0.00     19.899    33.4200
4      15.00 0.00      14.00 0.00      17.00 0.00      18.00 0.00     16.771    24.1025
4      16.00 0.00      15.00 0.00      18.00 0.00      19.00 0.00     12.732     7.2977
4      17.00 0.00      16.00 0.00      19.00 0.00      20.00 0.00     10.406    -1.8284
4      18.00 0.00      17.00 0.00      20.00 0.00      21.00 0.00      9.319    -4.8242
4      19.00 0.00      18.00 0.00      21.00 0.00      22.00 0.00      9.730    -3.6862
4      20.00 0.00      19.00 0.00      22.00 0.00      23.00 0.00     10.219    -5.0458
4      21.00 0.00      20.00 0.00      23.00 0.00      24.00 0.00     10.861    -8.8644
4      22.00 0.00      21.00 0.00      24.00 0.00      25.00 0.00      7.329    23.5969
4      23.00 0.00      22.00 0.00      25.00 0.00      26.00 0.00      4.005    83.8778
4      24.00 0.00      23.00 0.00      26.00 0.00      27.00 0.00      4.088    84.7741
4      25.00 0.00      24.00 0.00      27.00 0.00      28.00 0.00      4.004    83.7819
4      26.00 0.00      25.00 0.00      28.00 0.00      29.00 0.00      7.376    23.4429
4      27.00 0.00      26.00 0.00      29.00 0.00      30.00 0.00     10.982    -8.5040
4      28.00 0.00      27.00 0.00      30.00 0.00      31.00 0.00     10.436    -4.2430
4      29.00 0.00      28.00 0.00      31.00 0.00      32.00 0.00     10.146    -1.7593
4      30.00 0.00      29.00 0.00      32.00 0.00      33.00 0.00     10.049    -0.8063
4      31.00 0.00      30.00 0.00      33.00 0.00      34.00 0.00     10.015    -0.4038
4       1.00 0.00       0.00 0.00       4.00 0.00       5.00 0.00     22.017    37.2726
4       2.00 0.00       1.00 0.00       5.00 0.00       6.00 0.00     22.018    37.3198
4       3.00 0.00       2.00 0.00       6.00 0.00       7.00 0.00     22.027    37.3641
4       4.00 0.00       3.00 0.00       7.00 0.00       8.00 0.00     22.042    37.4395
4       5.00 0.00       4.00 0.00       8.00 0.00       9.00 0.00     22.066    37.5314
4       6.00 0.00       5.00 0.00       9.00 0.00      10.00 0.00     22.101    37.6692
4       7.00 0.00       6.00 0.00      10.00 0.00      11.00 0.00     22.154    37.8625
4       8.00 0.00       7.00 0.00      11.00 0.00      12.00 0.00     22.236    38.1501
4       9.00 0.00       8.00 0.00      12.00 0.00      13.00 0.00     22.368    38.5963
4      10.00 0.00       9.00 0.00      13.00 0.00      14.00 0.00     22.591    39.2817
4      11.00 0.00      10.00 0.00      14.00 0.00      15.00 0.00     22.996    40.3973
4      12.00 0.00      11.00 0.00      15.00 0.00      16.00 0.00     23.781    42.3151
4      13.00 0.00      12.00 0.00      16.00 0.00      17.00 0.00     24.794    44.9469
4      14.00 0.00      13.00 0.00      17.00 0.00      18.00 0.00     20.251    34.6783
4      15.00 0.00      14.00 0.00      18.00 0.00      19.00 0.00     15.241    16.3337
4      16.00 0.00      15.00 0.00      19.00 0.00      20.00 0.00     12.773     5.1202
4      17.00 0.00      16.00 0.00      20.00 0.00      21.00 0.00     10.780    -2.0689
4      18.00 0.00      17.00 0.00      21.00 0.00      22.00 0.00      9.349    -8.0967
4      19.00 0.00      18.00 0.00      22.00 0.00      23.00 0.00     10.025    -9.4939
4      20.00 0.00      19.00 0.00      23.00 0.00      24.00 0.00     10.909   -12.6784
4      21.00 0.00      20.00 0.00      24.00 0.00      25.00 0.00      6.800    27.8655
4      22.00 0.00      21.00 0.00      25.00 0.00      26.00 0.00      3.676    99.1767
4      23.00 0.00      22.00 0.00      26.00 0.00      27.00 0.00      5.052    80.2643
4      24.00 0.00      23.00 0.00      27.00 0.00      28.00 0.00      5.064    80.3015
4      25.00 0.00      24.00 0.00      28.00 0.00      29.00 0.00      3.697    99.5476
4      26.00 0.00      25.00 0.00      29.00 0.00      30.00 0.00      6.913    28.3670
4      27.00 0.00      26.00 0.00      30.00 0.00      31.00 0.00     11.301   -11.2702
4      28.00 0.00      27.00 0.00      31.00 0.00      32.00 0.00     10.732    -6.4763
4      29.00 0.00      28.00 0.00      32.00 0.00      33.00 0.00     10.326    -2.9446
4      30.00 0.00      29.00 0.00      33.00 0.00      34.00 0.00     10.178    -1.4487
4       1.00 0.00       0.00 0.00       5.00 0.00       6.00 0.00     25.038    45.5039
4       2.00 0.00       1.00 0.00       6.00 0.00       7.00 0.00     25.052    45.5883
4       3.00 0.00       2.00 0.00       7.00 0.00       8.00 0.00     25.079    45.6791
4       4.00 0.00       3.00 0.00       8.00 0.00       9.00 0.00     25.121    45.8143
4       5.00 0.00       4.00 0.00       9.00 0.00      10.00 0.00     25.182    46.0024
4       6.00 0.00       5.00 0.00      10.00 0.00      11.00 0.00     25.271    46.2691
4       7.00 0.00       6.00 0.00      11.00 0.00      12.00 0.00     25.405    46.6537
4       8.00 0.00       7.00 0.00      12.00 0.00      13.00 0.00     25.612    47.2027
4       9.00 0.00       8.00 0.00      13.00 0.00      14.00 0.00     25.948    48.0386
4      10.00 0.00       9.00 0.00      14.00 0.00      15.00 0.00     26.523    49.2993
4      11.00 0.00      10.00 0.00      15.00 0.00      16.00 0.00     27.551    51.3255
4      12.00 0.00      11.00 0.00      16.00 0.00      17.00 0.00     28.649    53.9226
4      13.00 0.00      12.00 0.00      17.00 0.00      18.00 0.00     22.868    43.0196
4      14.00 0.00      13.00 0.00      18.00 0.00      19.00 0.00     17.134    23.6775
4      15.00 0.00      14.00 0.00      19.00 0.00      20.00 0.00     14.565    11.5411
4      16.00 0.00      15.00 0.00      20.00 0.00      21.00 0.00     12.915     3.2041
4      17.00 0.00      16.00 0.00      21.00 0.00      22.00 0.00     11.238    -3.9172
4      18.00 0.00      17.00 0.00      22.00 0.00      23.00 0.00      9.724   -14.3362
4      19.00 0.00      18.00 0.00      23.00 0.00      24.00 0.00     10.474   -17.5916
4      20.00 0.00      19.00 0.00      24.00 0.00      25.00 0.00      6.298    29.4398
4      21.00 0.00      20.00 0.00      25.00 0.00      26.00 0.00      3.566   102.0624
4      22.00 0.00      21.00 0.00      26.00 0.00      27.00 0.00      5.774    69.6700
4      23.00 0.00      22.00 0.00      27.00 0.00      28.00 0.00      6.856    61.8961
4      24.00 0.00      23.00 0.00      28.00 0.00      29.00 0.00      5.845    70.0050
4      25.00 0.00      24.00 0.00      29.00 0.00      30.00 0.00      3.639   103.4034
4      26.00 0.00      25.00 0.00      30.00 0.00      31.00 0.00      6.578    31.4910
4      27.00 0.00      26.00 0.00      31.00 0.00      32.00 0.00     11.461   -13.4278
4      28.00 0.00      27.00 0.00      32.00 0.00      33.00 0.00     10.934    -8.4596
4      29.00 0.00      28.00 0.00      33.00 0.00      34.00 0.00     10.441    -4.1502
4       1.00 0.00       0.00 0.00       6.00 0.00       7.00 0.00     27.549    52.5886
4       2.00 0.00       1.00 0.00       7.00 0.00       8.00 0.00     27.590    52.7446
4       3.00 0.00       2.00 0.00       8.00 0.00       9.00 0.00     27.654    52.9182
