,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,0.00,3.00,1.00,2.00,18.43,5.68,4.75,122.950,41.906,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,6,0.000,1,0,0.033,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:19:18 AM,0,1
,Mixed / non conventional,1.00,4.00,2.00,3.00,16.56,4.86,-153.67,115.721,43.919,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.0,8/2/2022 10:19:23 AM,0,1
,Mixed / non conventional,2.00,5.00,3.00,4.00,15.61,3.91,-6.71,114.498,46.076,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,6,0.000,1,0,0.030,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:29 AM,0,1
,Mixed / non conventional,3.00,6.00,4.00,5.00,16.32,7.84,146.23,110.636,42.599,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:34 AM,0,1
,Mixed / non conventional,4.00,7.00,5.00,6.00,17.56,5.09,-55.89,124.079,44.389,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.0,8/2/2022 10:19:39 AM,0,1
,Mixed / non conventional,5.00,8.00,6.00,7.00,10.69,1.71,127.89,91.432,53.733,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.024,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:44 AM,0,1
,Mixed / non conventional,6.00,9.00,7.00,8.00,91.88,2.96,-429.28,807.742,55.237,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,6,0.000,2,0,0.030,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:19:50 AM,0,1
,Mixed / non conventional,7.00,10.00,8.00,9.00,0.02,0.36,-0.27,7.258,2274.817,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,3,0.000,49,112,0.022,00.000000,00.000000,,22080202,1,0,10.91,0.0,12.41,25.0,8/2/2022 10:19:53 AM,0,1
,Mixed / non conventional,8.00,11.00,9.00,10.00,64.89,4.28,316.15,523.651,50.702,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,6,0.000,1,0,0.026,00.000000,00.000000,,22080202,1,0,12.04,0.0,12.41,25.5,8/2/2022 10:19:59 AM,0,1
,Mixed / non conventional,9.00,12.00,10.00,11.00,10.25,6.94,-102.60,12.785,7.837,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,6,0.000,4,0,0.571,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,25.5,8/2/2022 10:20:04 AM,0,1
,Mixed / non conventional,10.00,13.00,11.00,12.00,25.88,9.02,50.59,13.373,3.247,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,14,12,13,0.00,0.00,0.00,0.00,6,0.000,5,0,1.406,00.000000,00.000000,,22080202,1,0,12.13,0.0,12.41,25.5,8/2/2022 10:20:09 AM,0,1
,Mixed / non conventional,11.00,14.00,12.00,13.00,354.16,6.58,120.44,16.832,0.299,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,15,13,14,0.00,0.00,0.00,0.00,6,0.000,5,0,17.433,00.000000,00.000000,,22080202,1,0,12.16,0.0,12.41,25.5,8/2/2022 10:20:15 AM,0,1
