El-array,xA(m),xB(m),xM(m),xN(m),Rho (Ohm.m),Dev.,M (mV/V),SP (mV) ,VMN (mV),IAB (mA)
Mixed / non conventional,0.75,1.25,0.00,0.50,57.55,0.53,0.00,335.69,-14.696,0.752
Mixed / non conventional,1.00,1.50,0.00,0.50,54.03,0.14,0.00,337.84,-15.713,2.741
Mixed / non conventional,1.00,1.50,0.50,0.25,55.77,0.23,0.00,-164.90,11.354,2.741
Mixed / non conventional,1.00,1.50,0.25,0.75,62.89,1.39,0.00,-60.37,-58.530,2.741
Mixed / non conventional,1.25,1.75,0.00,0.50,51.84,0.12,0.00,340.72,-12.501,4.972
Mixed / non conventional,1.25,1.75,0.50,1.00,59.47,2.26,0.00,-137.74,-100.395,4.972
Mixed / non conventional,1.25,1.75,1.00,0.25,58.89,2.08,0.00,-29.22,108.737,4.972
Mixed / non conventional,1.25,1.75,0.25,0.75,57.43,0.26,0.00,30.79,-30.295,4.972
Mixed / non conventional,1.50,2.00,0.00,0.50,54.29,0.07,0.00,342.43,-13.534,9.399
Mixed / non conventional,1.50,2.00,0.50,1.00,61.99,0.20,0.00,-44.11,-61.823,9.399
Mixed / non conventional,1.50,2.00,1.00,0.25,61.08,0.17,0.00,-124.38,70.485,9.399
Mixed / non conventional,1.50,2.00,0.25,0.75,59.54,0.17,0.00,66.25,-27.144,9.399
Mixed / non conventional,1.50,2.00,0.75,1.25,60.27,1.21,0.00,-333.98,-192.329,9.399
Mixed / non conventional,1.75,2.25,0.00,0.50,54.51,0.06,0.00,344.23,-13.990,15.875
Mixed / non conventional,1.75,2.25,0.50,1.00,65.23,0.09,0.00,-13.26,-50.229,15.875
Mixed / non conventional,1.75,2.25,1.00,1.50,65.98,0.60,0.00,-484.31,-355.655,15.875
Mixed / non conventional,1.75,2.25,1.50,0.25,65.63,0.52,0.00,327.76,414.567,15.875
Mixed / non conventional,1.75,2.25,0.25,0.75,60.87,0.10,0.00,86.75,-25.633,15.875
Mixed / non conventional,1.75,2.25,0.75,1.25,65.04,0.14,0.00,-239.66,-109.556,15.875
Mixed / non conventional,2.00,2.50,0.00,0.50,52.58,0.06,0.00,345.80,-14.303,25.638
Mixed / non conventional,2.00,2.50,0.50,1.00,66.15,0.06,0.00,2.78,-44.989,25.638
Mixed / non conventional,2.00,2.50,1.00,1.50,66.08,0.07,0.00,-400.56,-179.753,25.638
Mixed / non conventional,2.00,2.50,1.50,0.25,65.55,0.06,0.00,226.53,233.503,25.638
Mixed / non conventional,2.00,2.50,0.25,0.75,59.94,0.08,0.00,99.47,-24.846,25.638
Mixed / non conventional,2.00,2.50,0.75,1.25,67.32,0.06,0.00,-207.03,-83.721,25.638
Mixed / non conventional,2.00,2.50,1.25,1.75,60.90,0.39,0.00,-251.73,-530.082,25.638
Mixed / non conventional,2.25,2.75,0.00,0.50,51.45,0.05,0.00,347.02,-14.556,38.499
Mixed / non conventional,2.25,2.75,0.50,1.00,66.62,0.05,0.00,11.92,-41.470,38.499
Mixed / non conventional,2.25,2.75,1.00,1.50,67.66,0.03,0.00,-367.44,-126.344,38.499
Mixed / non conventional,2.25,2.75,1.50,2.00,56.81,0.28,0.00,-212.67,-742.664,38.499
Mixed / non conventional,2.25,2.75,2.00,0.25,58.46,0.23,0.00,396.11,919.324,38.499
Mixed / non conventional,2.25,2.75,0.25,0.75,58.92,0.06,0.00,107.65,-24.066,38.499
Mixed / non conventional,2.25,2.75,0.75,1.25,69.38,0.03,0.00,-187.23,-70.855,38.499
Mixed / non conventional,2.25,2.75,1.25,1.75,62.09,0.05,0.00,-202.25,-253.633,38.499
Mixed / non conventional,2.50,3.00,0.00,0.50,50.93,0.06,0.00,348.27,-14.963,55.384
Mixed / non conventional,2.50,3.00,0.50,1.00,67.68,0.07,0.00,18.02,-39.770,55.384
Mixed / non conventional,2.50,3.00,1.00,1.50,69.99,0.07,0.00,-342.74,-102.825,55.384
Mixed / non conventional,2.50,3.00,1.50,2.00,55.77,0.05,0.00,-152.84,-327.703,55.384
Mixed / non conventional,2.50,3.00,2.00,0.25,59.15,0.05,0.00,304.23,479.281,55.384
Mixed / non conventional,2.50,3.00,0.25,0.75,58.97,0.06,0.00,113.50,-24.003,55.384
Mixed / non conventional,2.50,3.00,0.75,1.25,71.72,0.04,0.00,-171.27,-64.218,55.384
Mixed / non conventional,2.50,3.00,1.25,1.75,62.76,0.03,0.00,-191.37,-168.602,55.384
Mixed / non conventional,2.50,3.00,1.75,2.25,50.46,0.23,0.00,-149.05,-948.946,55.384
Mixed / non conventional,2.75,3.25,0.25,0.75,64.02,0.04,0.00,117.25,-14.553,42.849
Mixed / non conventional,2.75,3.25,0.75,1.25,80.07,0.03,0.00,-158.23,-36.403,42.849
Mixed / non conventional,2.75,3.25,1.25,1.75,69.85,0.04,0.00,-187.73,-79.395,42.849
Mixed / non conventional,2.75,3.25,1.75,2.25,53.95,0.05,0.00,-76.21,-245.294,42.849
Mixed / non conventional,2.75,3.25,2.25,0.50,59.05,0.03,0.00,481.55,370.139,42.849
Mixed / non conventional,2.75,3.25,0.50,1.00,74.39,0.03,0.00,22.27,-23.426,42.849
Mixed / non conventional,2.75,3.25,1.00,1.50,78.70,0.04,0.00,-322.79,-54.519,42.849
Mixed / non conventional,2.75,3.25,1.50,2.00,60.13,0.03,0.00,-144.23,-124.977,42.849
Mixed / non conventional,2.75,3.25,2.00,2.50,57.14,0.32,0.00,-160.51,-831.325,42.849
Mixed / non conventional,3.00,3.50,0.50,1.00,73.31,0.07,0.00,24.27,-14.637,37.634
Mixed / non conventional,3.00,3.50,1.00,1.50,79.99,0.05,0.00,-306.39,-31.941,37.634
Mixed / non conventional,3.00,3.50,1.50,2.00,60.53,0.05,0.00,-143.20,-60.429,37.634
Mixed / non conventional,3.00,3.50,2.00,2.50,52.74,0.08,0.00,-71.84,-210.590,37.634
Mixed / non conventional,3.00,3.50,2.50,0.75,56.66,0.07,0.00,441.99,311.937,37.634
Mixed / non conventional,3.00,3.50,0.75,1.25,80.28,0.04,0.00,-146.25,-22.203,37.634
Mixed / non conventional,3.00,3.50,1.25,1.75,71.62,0.00,0.00,-186.49,-43.581,37.634
Mixed / non conventional,3.00,3.50,1.75,2.25,52.52,0.05,0.00,-56.43,-95.867,37.634
Mixed / non conventional,3.00,3.50,2.25,2.75,58.54,0.35,0.00,-164.21,-748.021,37.634
Mixed / non conventional,3.25,3.75,0.75,1.25,72.96,0.07,0.00,-136.23,-14.618,37.766
Mixed / non conventional,3.25,3.75,1.25,1.75,66.29,0.05,0.00,-186.72,-26.562,37.766
Mixed / non conventional,3.25,3.75,1.75,2.25,46.79,0.06,0.00,-45.86,-46.877,37.766
Mixed / non conventional,3.25,3.75,2.25,2.75,43.91,0.09,0.00,-81.09,-175.947,37.766
Mixed / non conventional,3.25,3.75,2.75,1.00,46.71,0.08,0.00,531.62,258.040,37.766
Mixed / non conventional,3.25,3.75,1.00,1.50,73.47,0.06,0.00,-291.63,-20.392,37.766
Mixed / non conventional,3.25,3.75,1.50,2.00,55.49,0.07,0.00,-144.02,-33.880,37.766
Mixed / non conventional,3.25,3.75,2.00,2.50,43.57,0.06,0.00,-47.16,-79.820,37.766
Mixed / non conventional,3.25,3.75,2.50,3.00,49.61,0.48,0.00,-141.16,-636.083,37.766
Mixed / non conventional,3.50,4.00,1.00,1.50,81.87,0.05,0.00,-279.52,-14.585,33.579
Mixed / non conventional,3.50,4.00,1.50,2.00,63.58,0.06,0.00,-145.80,-22.653,33.579
Mixed / non conventional,3.50,4.00,2.00,2.50,49.86,0.05,0.00,-34.08,-44.410,33.579
Mixed / non conventional,3.50,4.00,2.50,3.00,52.28,0.09,0.00,-54.93,-186.277,33.579
Mixed / non conventional,3.50,4.00,3.00,1.25,53.27,0.06,0.00,308.27,261.697,33.579
Mixed / non conventional,3.50,4.00,1.25,1.75,74.96,0.04,0.00,-186.94,-18.499,33.579
Mixed / non conventional,3.50,4.00,1.75,2.25,53.93,0.03,0.00,-38.96,-29.281,33.579
Mixed / non conventional,3.50,4.00,2.25,2.75,49.06,0.04,0.00,-61.14,-79.909,33.579
Mixed / non conventional,3.50,4.00,2.75,3.25,72.43,0.35,0.00,-73.84,-825.828,33.579
Mixed / non conventional,3.75,4.25,1.25,1.75,76.54,0.00,0.00,-187.91,-14.740,36.303
Mixed / non conventional,3.75,4.25,1.75,2.25,56.55,0.06,0.00,-34.72,-21.783,36.303
Mixed / non conventional,3.75,4.25,2.25,2.75,51.53,0.04,0.00,-52.60,-49.626,36.303
Mixed / non conventional,3.75,4.25,2.75,3.25,65.62,0.07,0.00,15.59,-252.761,36.303
Mixed / non conventional,3.75,4.25,3.25,1.50,62.55,0.07,0.00,190.12,332.214,36.303
Mixed / non conventional,3.75,4.25,1.50,2.00,65.98,0.04,0.00,-146.43,-17.603,36.303
Mixed / non conventional,3.75,4.25,2.00,2.50,52.50,0.04,0.00,-26.22,-30.816,36.303
Mixed / non conventional,3.75,4.25,2.50,3.00,52.72,0.05,0.00,-36.16,-92.827,36.303
Mixed / non conventional,3.75,4.25,3.00,3.50,69.89,0.40,0.00,-102.20,-861.435,36.303
Mixed / non conventional,4.00,4.50,1.50,2.00,66.75,0.00,0.00,-147.39,-14.826,41.868
Mixed / non conventional,4.00,4.50,2.00,2.50,53.68,0.00,0.00,-21.31,-23.846,41.868
Mixed / non conventional,4.00,4.50,2.50,3.00,52.70,0.04,0.00,-27.69,-58.531,41.868
Mixed / non conventional,4.00,4.50,3.00,3.50,58.23,0.10,0.00,-4.82,-258.677,41.868
Mixed / non conventional,4.00,4.50,3.50,1.75,56.99,0.09,0.00,83.56,349.059,41.868
Mixed / non conventional,4.00,4.50,1.75,2.25,57.70,0.06,0.00,-31.13,-17.753,41.868
Mixed / non conventional,4.00,4.50,2.25,2.75,52.59,0.03,0.00,-48.06,-35.601,41.868
Mixed / non conventional,4.00,4.50,2.75,3.25,60.25,0.07,0.00,41.29,-122.355,41.868
Mixed / non conventional,4.00,4.50,3.25,3.75,60.24,0.05,0.00,290.11,-856.383,41.868
Mixed / non conventional,4.25,4.75,1.75,2.25,61.07,0.00,0.00,-28.45,-15.144,46.746
Mixed / non conventional,4.25,4.75,2.25,2.75,56.53,0.06,0.00,-45.37,-28.040,46.746
Mixed / non conventional,4.25,4.75,2.75,3.25,63.61,0.04,0.00,58.55,-78.874,46.746
Mixed / non conventional,4.25,4.75,3.25,3.75,57.19,0.03,0.00,292.18,-283.655,46.746
Mixed / non conventional,4.25,4.75,3.75,2.00,58.32,0.06,0.00,-303.54,398.821,46.746
