El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),Nâ electrode A,Nâ electrode B,Nâ electrode M,Nâ electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (mV/V),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (âC),Rx-Bat (V),Rx Temp. (âC),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
Mixed / non conventional,0,1,2,3,0,1,2,3,87.67,0.11,0,3,3.78,-323.35,69.519,1000,-18.85,34.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,5.71,4.48,4.83,3.86,3.18,2.43,3.65,3.01,2.32,2.27,2.09,1.89,1.94,1.85,2.12,2.93,1.8,2.39,1.26,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,1,0,12.92,0,12.41,38.7,9/10/16 12:18,0,1,0,0,0,0
Mixed / non conventional,0,1,3,4,0,1,3,4,43.39,0.82,0,0.97,10.48,-40.003,69.519,1000,-75.4,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,-0.19,4.7,-2.73,1.72,4.88,6.03,-5.34,-0.92,1.81,1.56,4.18,3.65,2,1.28,-0.44,-7.54,2.44,-4.83,4.86,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,2,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,4,5,0,1,4,5,28.92,0.16,0,0.14,7.86,-10.667,69.519,1000,-188.5,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,-0.24,0.76,2.54,0.76,-2.46,4.95,3.09,-2.13,2.25,7.06,-0.51,-1.18,-1.08,-0.66,-1.5,-1.93,-4.53,-3.42,-3.04,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,3,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,5,6,0,1,5,6,29.27,0.44,0,2.14,-3.29,-5.397,69.519,1000,-376.99,73.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63,-8.28,6.15,-0.68,-1.01,8.82,4.26,-0.62,0,1.11,-3.14,6.15,-0.77,-2.52,7.58,15.07,8.46,3.71,-6.65,9.86,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,4,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,6,7,0,1,6,7,33.42,1,0,-0.12,-3.12,-3.522,69.519,1000,-659.73,-3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,-1.46,4.35,8.96,0.54,9.91,-8.98,7.11,-12.22,2.38,5.63,-6.08,5.6,-6.62,-4.56,-6.84,-4.28,-0.43,3.07,-3.82,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,5,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,7,8,0,1,7,8,36.74,2.37,0,10.02,8.76,-2.42,69.519,1000,-1055.58,272.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,11.12,18.16,1.13,8.5,19.64,19.94,2.25,-3.72,-8.15,11.07,6.61,10.36,18.9,17.73,9.27,11.54,29.64,-8.86,9.29,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,6,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,8,9,0,1,8,9,44.67,1.55,0,2.93,11.64,-1.961,69.519,1000,-1583.36,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,-21.03,-1.38,-6.34,-8.67,7.25,14.13,11.85,5.9,11.97,28.74,-17.83,3.59,10.96,11.38,-10.47,-5.08,2.27,1.83,-6,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,7,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,9,10,0,1,9,10,42.4,4.38,0,20.62,4.53,-1.303,69.519,1000,-2261.95,486.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.73,-0.54,26.06,22,11.01,16.11,26.78,-15.84,23.45,-6.13,18.6,36.44,13.25,11.62,25.08,38.47,35.1,107.28,-1.93,37.3,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,8,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,1,11,12,0,1,11,12,62.37,9.09,0,10.61,-9.48,-1.046,69.519,1000,-4146.9,170.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,-54.69,-57.2,32.89,13.26,35.36,27.61,100.23,28.2,8.75,1.2,12.46,-8.59,18.16,-0.21,-6.85,94.2,-0.09,1.76,-51.47,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,201,2.9,14,0,0,,SurfRifle_,10,0,12.92,0,12.41,38.7,9/10/16 12:18,0,0,0,0,0,0
Mixed / non conventional,0,2,4,6,0,2,4,6,26.88,0.14,0,-0.4,4.91,-52.913,74.203,1000,-37.7,-14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.35,1.28,9,-6.64,-5.63,-0.67,-3.35,1.83,2.15,-0.99,-3.21,3.27,-0.97,3.74,4.56,1.55,-0.03,-2.41,-2.17,-1.94,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,1,0,12.89,0,12.41,38.7,9/10/16 12:19,0,1,0,0,0,0
Mixed / non conventional,0,2,6,7,0,2,6,7,27.97,0.87,0,4.95,-5.14,-8.651,74.203,1000,-239.9,177.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.57,-4,-46.08,44.53,47.77,7.33,18.26,-14.2,-16.51,8.42,19.81,-17.59,6.73,-16.33,-25.91,-7.29,8.37,7.71,9.19,14.27,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,2,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,7,8,0,2,7,8,30.79,0.72,0,2.52,9.85,-5.627,74.203,1000,-405.99,81.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,2.37,2.01,7.83,2.55,1.9,9.37,3.11,3.35,4.89,11.29,-3.55,-5.89,-6.07,-8.25,2.23,-10.96,2.87,13.67,8.75,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,3,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,8,9,0,2,8,9,38.25,0.29,0,-0.84,11.97,-4.481,74.203,1000,-633.35,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64,-14.94,7.48,-3.4,-10.45,-11.59,-10.77,6.21,-1.19,-4.56,-6.44,3.98,-2,4,-3.95,-4.42,16.51,2.41,8.56,10.39,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,4,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,9,10,0,2,9,10,36.66,0.12,0,3.22,4.41,-2.92,74.203,1000,-931.39,87.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,27.84,4.27,3.42,-24.47,4.55,11.87,12.53,8.61,-4,11.63,-0.67,10.7,-13.49,-2.12,1.6,-15.53,-2.15,14.77,5.83,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,5,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,10,11,0,2,10,11,40.43,0.42,0,-0.49,-6.29,-2.291,74.203,1000,-1309.55,-12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.32,5.86,12.6,-4.32,-18.45,-9.74,-26.61,5.47,-4.68,-7.71,-14.96,6.95,-6.2,9.04,-1.18,-6.31,22.48,-10.9,14.9,30.2,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,6,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,11,12,0,2,11,12,55.54,0.37,0,2.75,-11.31,-2.319,74.203,1000,-1777.24,49.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.79,9.25,10.79,-0.3,-18.18,-6.22,8.38,-5.87,18.92,7.35,8.88,15.86,12.82,-11.24,-2.72,5.48,-15.44,6.96,17.73,3.42,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,7,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
Mixed / non conventional,0,2,12,13,0,2,12,13,65.59,0.78,0,-2.43,9.97,-2.077,74.203,1000,-2343.9,-37.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,-1.3,2.87,-7.08,-10.09,-0.72,-37.21,-6.09,2.57,-39.95,-22.62,4.77,2.61,19.89,5.88,-17.51,38.28,3.34,-21.25,22.77,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,0,200,2.7,15,0,0,,SurfRifle_,8,0,12.89,0,12.41,38.7,9/10/16 12:19,0,0,0,0,0,0
