    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    1    3         4    6       -0.99371         45.788         44.886         0.49974E+02    0.49974E+02    0
    1    3         6    8        0.14883         42.179         42.308         0.48570E+02    0.48570E+02    0
    1    3         8   10       -1.97151         46.371         44.224         0.41598E+02    0.41598E+02    0
    1    3        10   12       -0.99628         45.142         43.544         0.27644E+02    0.27644E+02    0
    1    3        12   14       -0.18308         47.019         46.528         0.17438E+02    0.17438E+02    0
    1    3        14   16        0.25497         43.581         44.692         0.10133E+02    0.10133E+02    0
    1    3        16    5       -0.74509         45.026         44.358         0.49868E+02    0.49868E+02    0
    1    3         5    7       -0.59026         44.763         44.235         0.49725E+02    0.49725E+02    0
    1    3         7    9       -1.29290         45.902         44.637         0.46252E+02    0.46252E+02    0
    1    3         9   11       -1.40081         45.622         43.821         0.34778E+02    0.34778E+02    0
    1    3        11   13       -0.51507         45.963         44.896         0.21917E+02    0.21917E+02    0
    1    3        13   15        0.02379         47.397         47.479         0.13810E+02    0.13810E+02    0
    2    4         5    7       -1.34711         54.910         53.450         0.49982E+02    0.49982E+02    0
    2    4         7    9       -0.36539         49.474         49.106         0.48949E+02    0.48949E+02    0
    2    4         9   11       -1.73637         51.592         49.545         0.42886E+02    0.42886E+02    0
    2    4        11   13       -1.19015         52.885         50.873         0.30686E+02    0.30686E+02    0
    2    4        13   15       -0.50889         55.037         53.652         0.19967E+02    0.19967E+02    0
    2    4        15   17        0.21104         53.228         54.153         0.12253E+02    0.12253E+02    0
    2    4        17    6        0.19255         47.285         47.468         0.49880E+02    0.49880E+02    0
    2    4         6    8        0.65022         45.727         46.329         0.49737E+02    0.49737E+02    0
    2    4         8   10       -1.61437         51.123         49.394         0.46913E+02    0.46913E+02    0
    2    4        10   12       -1.43321         51.290         49.331         0.36819E+02    0.36819E+02    0
    2    4        12   14       -0.90988         54.551         52.605         0.25047E+02    0.25047E+02    0
    2    4        14   16       -0.03646         50.630         50.504         0.14673E+02    0.14673E+02    0
    3    5         6    8       -0.25127         45.806         45.576         0.49974E+02    0.49974E+02    0
    3    5         8   10       -0.93394         53.533         52.524         0.49098E+02    0.49098E+02    0
    3    5        10   12       -1.65918         57.313         55.192         0.44003E+02    0.44003E+02    0
    3    5        12   14       -1.61517         62.989         60.064         0.33969E+02    0.33969E+02    0
    3    5        14   16       -0.63438         60.217         58.467         0.21511E+02    0.21511E+02    0
    3    5        16   18        0.09454         63.550         63.967         0.14445E+02    0.14445E+02    0
    3    5        18    7       -0.46673         52.524         52.035         0.49903E+02    0.49903E+02    0
    3    5         7    9        0.30072         49.732         50.033         0.49777E+02    0.49777E+02    0
    3    5         9   11       -1.46472         56.169         54.460         0.47402E+02    0.47402E+02    0
    3    5        11   13       -1.69465         60.175         57.640         0.39366E+02    0.39366E+02    0
    3    5        13   15       -1.26896         64.547         61.712         0.28252E+02    0.28252E+02    0
    3    5        15   17       -0.22353         63.849         63.063         0.18051E+02    0.18051E+02    0
    4    6         7    9       -0.99483         52.921         51.878         0.49981E+02    0.49981E+02    0
    4    6         9   11       -1.02040         60.053         58.822         0.49279E+02    0.49279E+02    0
    4    6        11   13       -2.05436         66.590         63.640         0.45348E+02    0.45348E+02    0
    4    6        13   15       -2.26621         73.428         69.028         0.36677E+02    0.36677E+02    0
    4    6        15   17       -1.17899         74.799         71.415         0.25471E+02    0.25471E+02    0
    4    6        17   19       -0.15754         71.691         70.993         0.16114E+02    0.16114E+02    0
    4    6        19    8       -0.99562         58.997         57.832         0.49923E+02    0.49923E+02    0
    4    6         8   10       -0.52049         55.846         55.266         0.49823E+02    0.49823E+02    0
    4    6        10   12       -1.50331         62.245         60.320         0.47854E+02    0.47854E+02    0
    4    6        12   14       -2.40643         70.699         66.726         0.41605E+02    0.41605E+02    0
    4    6        14   16       -1.60432         69.467         65.810         0.29666E+02    0.29666E+02    0
    4    6        16   18       -0.65917         75.318         72.965         0.20770E+02    0.20770E+02    0
    5    7         8   10       -1.36379         54.093         52.637         0.49981E+02    0.49981E+02    0
    5    7        10   12       -0.51752         59.311         58.691         0.49262E+02    0.49262E+02    0
    5    7        12   14       -1.98202         68.880         65.951         0.45614E+02    0.45614E+02    0
    5    7        14   16       -1.92191         69.822         66.174         0.35811E+02    0.35811E+02    0
    5    7        16   18       -1.25047         78.269         74.638         0.26330E+02    0.26330E+02    0
    5    7        18   20        0.14560         81.064         81.724         0.17962E+02    0.17962E+02    0
